GFP_start,GFP_end,RFP_start,RFP_end
10,21,10,20
29,39,30,40
141,152,142,152
167,175,167,174
173,184,175,183
206,217,207,217
215,225,216,225
281,291,282,290
350,360,351,359
6,25,7,24
63,75,64,74
107,117,107,116
111,125,113,124
126,136,126,136
205,216,205,216
230,243,230,243
251,265,254,263
366,375,367,374
13,21,13,21
36,48,37,48
127,140,127,139
139,150,139,149
318,325,318,325
25,35,26,35
52,65,53,62
67,79,68,79
144,153,143,152
162,174,162,173
180,188,180,188
195,205,196,205
235,242,235,242
287,295,288,294
307,321,309,320
361,371,362,371
381,390,382,389
31,43,31,41
91,102,92,101
186,197,185,197
204,215,206,214
205,215,206,214
224,233,225,234
320,326,319,326
331,339,332,340
346,358,348,358
368,375,368,375
381,388,381,389
