GFP_start,GFP_end,RFP_start,RFP_end
34,60,55,62
36,125,122,130
72,104,100,105
92,123,124,130
162,199,197,206
219,264,266,277
220,284,281,288
285,320,318,324
287,367,364,370
338,373,374,379
320,339,337,341
280,322,313,323
285,345,338,348
280,311,306,316
226,258,257,266
260,291,289,296
146,186,185,190
45,134,134,143
18,52,50,59
35,93,94,101
139,181,179,184
223,275,276,285
305,338,338,344
335,361,361,366
368,391,392,395
263,279,276,282
203,232,230,234
152,177,174,178
113,151,142,151
90,132,132,136
75,99,97,102
60,156,155,163
128,177,177,183
100,152,149,154
74,122,113,126
131,158,155,163
9,34,32,39
44,87,83,90
134,155,150,158
134,171,169,180
