GFP_start,GFP_end,RFP_start,RFP_end
27,57,59,63
33,66,67,73
85,124,129,135
104,166,160,168
130,204,204,211
242,299,300,309
87,159,158,164
6,56,51,59
57,85,75,85
58,112,111,116
131,224,221,225
217,254,250,259
288,359,356,366
4,33,34,41
17,69,61,69
53,83,76,85
63,97,94,101
72,98,94,100
11,45,44,51
115,152,148,154
170,198,197,204
20,57,52,58
73,113,112,120
106,208,208,217
205,230,223,233
18,98,93,100
168,205,199,205
205,284,285,294
330,380,382,389
33,108,109,114
116,150,149,156
195,230,225,231
248,295,290,298
311,375,374,384
2,33,31,35
89,164,163,170
34,76,77,84
73,115,112,123
70,138,140,148
98,205,204,216
