GFP_start,GFP_end,RFP_start,RFP_end
28,72,67,72
77,120,116,125
118,153,148,154
128,175,171,177
169,195,192,198
289,327,322,326
327,358,355,363
15,42,39,48
38,63,61,67
22,71,67,74
157,184,178,188
169,202,192,205
288,317,314,318
288,309,304,310
6,54,51,59
58,90,86,95
97,129,124,129
133,171,166,179
170,195,192,200
211,244,240,245
225,255,250,260
230,271,266,272
23,62,60,67
53,111,107,113
99,148,144,150
167,195,190,199
231,262,258,263
295,332,330,334
326,346,343,347
57,92,90,94
49,80,77,91
94,114,110,116
79,114,111,115
162,199,196,206
183,218,215,225
220,246,243,253
38,80,78,85
59,120,116,120
140,177,174,180
169,201,198,206
240,271,269,272
58,100,98,105
119,159,154,165
61,116,110,121
167,199,195,204
174,206,204,206
