GFP_start,GFP_end,RFP_start,RFP_end
12,18,16,20
19,27,26,29
43,53,51,55
54,64,66,69
72,78,77,80
77,91,87,94
97,103,103,106
131,138,136,142
139,149,147,150
178,191,190,194
186,193,191,193
213,221,219,227
225,233,231,235
261,266,264,269
283,287,284,288
321,329,327,332
342,359,356,362
375,378,376,380
11,19,18,22
16,21,21,24
22,31,30,33
33,43,42,46
13,30,27,32
48,54,53,57
52,62,59,62
73,82,83,84
80,96,93,97
102,115,112,116
111,121,118,123
179,198,194,199
210,222,219,224
212,224,220,225
220,232,229,234
232,241,238,243
244,252,250,256
259,272,270,275
289,296,293,297
332,344,340,345
339,349,346,351
350,366,361,367
11,33,31,34
125,137,131,138
202,211,209,214
