GFP_start,GFP_end,RFP_start,RFP_end
6,12,4,14
13,17,11,18
18,21,16,22
19,23,17,23
18,21,16,22
23,26,21,26
37,41,35,40
37,40,35,40
39,43,37,44
49,52,47,53
47,50,44,51
57,60,51,61
59,64,56,65
77,81,75,83
84,87,82,89
95,99,94,101
99,103,96,104
115,117,113,120
127,130,124,130
130,133,127,134
138,140,135,141
140,144,137,145
147,152,146,152
164,168,161,167
176,179,173,180
177,181,174,182
182,185,179,185
184,186,182,187
201,204,198,205
201,204,199,205
207,210,205,212
242,245,239,244
242,246,240,246
248,252,247,252
252,258,250,258
266,269,263,271
276,280,274,280
290,293,288,293
296,300,291,301
324,328,322,329
