GFP_start,GFP_end,RFP_start,RFP_end
7,10,6,11
6,9,3,10
15,16,12,19
16,19,14,20
23,27,21,29
36,39,34,38
37,38,34,40
60,62,57,64
54,57,52,59
62,65,59,69
63,65,61,66
78,80,76,82
87,89,86,91
95,96,92,100
95,97,93,99
110,111,107,115
128,130,126,132
127,129,124,132
139,143,141,150
160,164,156,163
12,16,10,18
18,21,17,23
21,23,18,24
16,19,13,22
20,25,20,28
40,43,38,45
41,46,40,50
56,62,53,63
69,73,69,76
86,88,83,88
90,95,87,96
109,110,106,115
121,124,120,126
130,135,127,136
144,148,143,150
158,160,155,165
163,166,162,167
168,170,166,174
190,196,188,199
202,206,201,211
