GFP_start,GFP_end,RFP_start,RFP_end
7,10,5,11
9,12,8,13
23,24,23,28
30,32,28,32
32,35,30,36
33,35,34,39
179,182,177,182
179,182,175,181
186,188,183,189
212,213,210,213
224,226,222,225
235,236,233,238
259,260,256,260
309,311,307,313
5,6,2,9
9,11,6,12
38,40,38,43
139,140,136,140
145,149,145,149
149,151,147,151
151,153,149,154
170,171,168,172
195,197,194,198
196,198,194,199
204,206,204,208
218,220,216,221
226,228,224,230
233,235,231,239
6,8,8,13
113,115,112,116
129,130,128,132
165,167,163,168
162,168,161,168
12,17,14,18
18,22,20,24
30,34,29,35
47,52,45,55
53,57,52,58
70,76,68,78
75,79,74,80
