GFP_start,GFP_end,RFP_start,RFP_end
183,195,191,196
185,198,193,199
171,188,182,188
170,182,178,183
221,232,227,233
198,208,205,209
197,209,206,209
223,237,233,238
252,260,258,262
49,58,56,59
46,66,63,67
61,71,68,73
65,76,71,75
46,66,60,66
94,105,101,106
94,109,104,109
145,160,156,162
171,185,180,187
173,191,187,192
216,231,228,233
260,274,271,276
381,395,392,396
5,33,30,33
26,44,41,45
50,62,59,63
84,93,91,94
158,171,169,173
181,191,190,193
259,269,266,269
14,30,25,30
25,42,37,43
31,55,50,56
49,59,56,61
51,61,57,61
55,68,65,69
62,71,69,73
122,132,128,132
118,135,131,137
159,175,172,176
163,175,169,177
226,238,234,238
238,255,252,255
259,272,269,272
