GFP_start,GFP_end,RFP_start,RFP_end
34,61,59,68
28,66,60,67
112,156,153,162
74,113,107,116
174,238,233,242
52,99,98,106
337,392,392,400
350,388,384,390
77,132,126,134
120,152,148,159
109,135,127,135
60,109,103,111
85,148,142,151
171,272,268,274
307,334,329,337
93,131,124,132
165,220,214,223
222,247,243,252
2,25,20,28
66,132,126,133
90,107,108,115
127,146,142,150
170,209,204,211
262,278,273,281
296,348,345,351
7,59,54,60
23,52,48,55
47,78,73,79
46,85,84,91
126,156,155,162
328,371,369,378
48,96,94,100
112,194,190,198
177,223,217,226
11,66,61,71
45,75,71,79
61,99,90,100
106,161,159,167
181,204,199,206
180,201,196,204
