GFP_start,GFP_end,RFP_start,RFP_end
8,57,54,58
35,66,59,69
97,122,117,124
101,138,136,144
146,227,223,227
184,203,199,206
310,339,335,343
110,137,133,140
176,199,196,201
7,46,44,48
34,54,51,59
84,123,117,127
152,203,197,206
188,214,212,214
221,238,237,240
249,256,253,257
16,33,29,34
29,47,45,53
90,111,108,112
102,127,121,128
138,158,152,159
174,208,202,208
216,259,256,260
279,341,338,342
3,20,17,24
3,30,28,34
12,36,33,38
25,54,52,58
36,58,51,58
104,125,122,127
152,178,175,183
162,191,186,194
225,252,249,254
273,302,300,306
291,316,314,321
324,355,353,361
341,362,360,366
322,338,337,340
294,312,304,314
261,274,271,279
