GFP_start,GFP_end,RFP_start,RFP_end
5,30,27,32
18,46,42,48
70,82,79,84
82,97,94,99
120,148,145,149
155,173,171,176
209,231,228,233
238,265,262,267
251,287,278,285
293,315,309,318
320,339,337,340
344,372,368,373
6,30,25,31
5,34,31,35
55,78,76,80
98,117,114,119
131,155,152,158
184,220,215,224
191,213,210,215
223,241,239,245
278,292,289,295
296,316,313,319
307,318,315,321
308,335,332,337
340,368,363,368
9,27,25,30
8,34,29,34
32,63,60,64
76,93,91,96
97,112,106,112
103,132,126,132
131,172,169,175
173,189,186,192
217,240,239,243
285,320,320,326
10,42,40,45
36,57,54,63
65,80,77,82
65,92,90,95
76,90,90,94
