GFP_start,GFP_end,RFP_start,RFP_end
11,23,11,23
24,40,25,40
62,77,62,77
91,109,91,109
103,118,103,119
112,121,113,123
127,138,127,139
144,160,145,160
182,199,183,197
211,228,212,228
239,246,238,248
241,251,240,252
243,253,243,253
285,294,285,294
348,359,347,359
342,351,342,351
364,373,363,372
6,20,11,21
20,29,21,29
34,50,38,49
36,50,36,49
52,69,54,68
70,78,71,79
79,90,80,90
94,105,95,105
106,116,106,116
129,142,130,141
168,182,168,181
172,189,172,187
197,204,197,204
214,228,215,225
230,239,230,239
241,249,241,251
238,253,242,256
253,265,255,264
276,288,276,288
284,298,285,297
317,327,318,327
16,22,15,23
25,32,26,32
66,79,66,76
89,100,90,100
106,122,106,122
121,132,121,132
128,137,128,137
145,157,146,157
191,206,191,209
211,219,212,219
224,238,225,238
254,265,255,265
280,306,280,305
329,340,330,339
349,359,349,358
378,395,379,393
