GFP_start,GFP_end,RFP_start,RFP_end
9,21,10,19
36,44,36,43
65,75,66,72
79,86,80,85
102,109,103,108
124,132,124,131
129,136,130,134
137,144,137,142
181,189,183,188
194,205,194,203
211,219,212,218
231,240,232,238
268,277,268,275
338,345,338,343
367,375,368,375
384,395,384,394
10,23,11,19
33,44,34,42
38,52,39,49
72,84,74,82
91,103,92,101
121,136,123,134
137,151,139,149
147,159,147,157
161,177,162,173
183,193,185,193
196,213,197,210
242,255,243,253
249,260,251,258
260,274,263,272
280,295,281,290
292,308,293,303
320,334,321,331
337,350,338,348
354,366,355,363
356,367,357,365
372,384,373,382
367,381,370,378
378,390,379,389
