GFP_start,GFP_end,RFP_start,RFP_end
5,49,48,52
12,91,85,93
109,184,184,191
150,256,250,257
273,313,310,315
2,240,239,246
145,309,307,316
30,69,61,71
14,248,245,253
210,337,332,340
305,390,388,398
131,308,298,313
141,178,177,183
149,277,277,285
247,308,306,314
2,60,53,61
65,158,156,164
130,175,174,185
204,244,232,243
34,87,86,97
25,210,206,216
79,104,102,108
151,185,184,191
16,210,207,216
180,307,304,313
108,191,191,199
165,209,206,213
133,263,259,270
96,159,158,168
254,381,376,385
95,155,152,159
137,267,262,273
267,359,351,361
26,85,86,93
8,92,87,96
138,163,160,168
225,278,278,286
238,349,348,358
10,62,54,63
40,106,104,112
