GFP_start,GFP_end,RFP_start,RFP_end
2,17,18,24
15,26,27,30
4,28,29,33
25,40,41,44
37,55,56,60
54,75,75,79
63,84,80,88
103,114,114,120
164,174,175,179
11,28,28,33
43,58,59,64
64,77,79,84
87,107,108,115
109,135,136,142
129,151,153,161
168,189,190,196
216,238,240,246
251,267,261,269
248,264,265,271
298,322,322,328
3,22,23,28
29,47,48,51
48,66,67,72
40,61,63,68
79,99,99,106
98,120,123,129
129,156,157,162
145,171,172,176
170,193,191,196
192,207,212,217
10,30,30,35
23,43,49,54
38,56,59,66
72,93,94,99
166,181,181,186
190,215,216,225
198,221,220,225
216,233,233,237
221,242,239,246
281,299,299,303
