GFP_start,GFP_end
17,22
32,37
35,43
56,63
54,61
139,149
149,158
165,174
172,184
192,199
197,204
18,23
38,48
57,66
71,80
97,104
120,131
149,159
196,204
241,247
253,262
259,266
293,300
302,309
313,322
371,382
379,386
21,28
48,57
53,59
62,69
65,71
102,111
133,144
11,17
30,37
38,51
52,60
93,101
158,168
165,184
199,208
197,202
282,289
290,298
343,352
2,11
15,20
34,45
52,58
60,68
66,75
72,81
111,117
115,123
138,145
140,150
167,176
195,202
203,211
242,253
277,285
288,296
309,320
316,325
343,349
346,353
