GFP_start,GFP_end
3,7
6,13
18,23
23,32
45,49
49,59
63,71
71,78
79,87
86,92
97,102
116,122
121,131
150,154
160,169
173,179
180,186
177,190
187,194
199,203
202,207
204,215
209,217
227,236
231,239
244,257
255,265
265,269
282,290
288,293
304,311
315,319
348,355
361,369
374,381
379,385
4,9
15,20
22,31
34,37
38,51
47,53
62,65
79,83
96,100
107,111
139,146
142,149
192,200
214,222
258,261
268,273
285,294
290,297
367,371
383,386
8,17
20,29
29,33
39,44
40,44
47,51
58,62
61,69
80,91
93,103
105,111
118,128
138,143
146,151
164,172
177,182
197,205
197,206
208,213
213,218
