GFP_start,GFP_end
8,11
13,17
18,22
21,25
22,28
30,33
61,66
66,71
72,79
85,91
96,101
99,107
108,114
116,119
124,129
153,156
163,166
166,170
174,178
181,186
189,192
201,206
223,227
227,232
257,260
260,265
269,271
273,280
311,313
324,327
331,333
342,347
344,349
352,355
355,362
385,390
392,395
392,395
3,11
17,20
24,28
27,31
30,40
29,35
54,60
55,62
61,67
75,82
83,90
87,91
92,97
102,106
105,111
117,122
123,128
125,134
147,153
151,156
159,164
162,166
171,177
185,192
190,196
199,203
203,208
206,209
206,213
219,223
218,225
226,230
230,234
235,242
240,245
243,248
