Invagination_start,Fim1_start,Fim1_end
71,68,79
43,38,53
25,22,34
79,69,87
62,61,72
71,68,76
62,61,69
89,89,98
126,126,139
132,129,139
32,30,41
101,98,108
50,49,62
88,84,94
65,63,75
54,52,61
88,85,98
91,88,102
250,248,260
153,151,162
172,172,181
77,73,84
59,57,67
177,177,186
71,69,81
90,88,100
196,192,203
86,84,95
166,163,174
173,171,182
180,176,190
30,28,40
56,56,64
244,242,254
10,9,21
41,38,50
37,34,44
164,161,170
220,216,227
335,333,343
82,79,91
172,170,178
321,320,330
20,18,27
13,11,23
37,37,46
111,110,120
116,115,125
309,307,319
107,104,115
193,192,203
38,36,44
