Invagination_start,Fim1_start,Fim1_end
34,32,56
56,53,63
59,54,68
162,160,170
169,169,177
195,192,212
207,201,213
217,212,223
288,286,299
55,54,61
43,38,51
58,56,61
72,67,81
97,92,108
180,176,188
226,225,230
254,251,263
277,275,282
287,284,290
19,17,39
68,66,75
76,73,81
87,86,94
103,102,114
138,136,143
158,157,167
170,168,176
185,182,194
215,212,221
250,249,259
121,119,131
107,105,111
157,155,162
213,211,218
218,216,226
273,271,279
31,28,45
46,44,63
63,60,67
76,73,81
92,90,97
136,132,144
161,159,168
179,177,187
289,285,294
15,13,25
63,61,68
97,96,105
