Invagination_start,Fim1_start,Fim1_end
49,48,55
98,96,104
118,117,123
149,148,157
254,252,258
79,77,88
116,115,122
136,132,142
181,178,188
208,205,215
26,24,35
51,49,57
94,92,103
146,144,155
262,259,267
278,278,285
262,259,268
29,26,38
68,65,75
113,113,118
119,116,126
144,142,151
178,174,186
205,201,211
233,229,239
249,247,254
92,90,96
104,103,115
180,176,186
243,241,250
250,250,256
38,34,45
77,74,83
75,75,86
74,73,82
147,146,154
252,249,259
32,30,40
41,38,47
50,48,56
51,48,60
145,143,151
174,171,180
230,229,234
