GFP_start,GFP_end,RFP_start,RFP_end
6,12,6,11
6,13,7,14
7,12,7,14
12,17,12,17
25,30,25,29
40,46,41,46
40,46,41,44
47,52,47,51
70,75,69,75
74,80,73,83
77,83,77,85
80,86,81,88
113,119,114,119
114,119,113,120
152,157,152,158
10,15,10,15
19,24,19,25
23,28,25,27
35,41,36,41
42,48,42,47
49,56,49,57
75,81,76,79
88,94,89,93
88,95,88,93
99,103,99,103
99,103,99,103
114,119,115,119
121,126,121,127
131,137,131,137
152,162,152,161
152,157,152,159
4,10,4,9
4,8,4,7
11,16,11,17
11,17,11,16
17,21,17,23
20,24,21,24
21,27,22,27
20,24,21,25
104,109,104,109
