GFP_start,GFP_end,RFP_start,RFP_end
4,9,4,9
5,10,5,10
5,10,5,11
4,9,5,10
9,14,9,14
10,14,11,15
16,19,16,23
16,19,16,21
17,21,17,22
25,32,26,32
34,38,34,40
42,48,43,48
45,49,45,50
44,47,44,47
68,73,68,73
4,8,5,9
5,9,5,9
7,11,7,12
25,29,25,29
33,37,33,38
36,39,36,40
43,47,43,47
44,48,44,51
45,49,45,49
52,56,52,56
60,63,60,64
145,149,145,150
161,166,161,167
167,170,167,172
172,176,172,176
172,176,172,177
176,180,176,180
185,189,185,190
192,195,191,198
203,207,203,207
3,6,3,6
6,10,6,13
6,10,6,12
12,16,12,17
18,22,18,22
