GFP_start,GFP_end,RFP_start,RFP_end
50,57,50,58
75,83,75,82
75,81,75,82
83,91,82,90
95,104,96,104
104,112,104,112
117,126,117,122
125,134,125,133
140,149,141,148
155,164,156,164
159,171,160,171
188,195,188,194
198,206,199,207
201,211,201,210
223,235,224,234
260,270,260,267
261,273,261,267
293,301,293,299
303,313,304,311
331,341,331,339
13,23,13,22
34,48,34,43
57,67,57,65
96,109,97,105
133,149,133,140
199,209,201,210
255,269,259,264
11,21,11,19
23,31,24,31
31,39,31,39
47,54,47,54
6,15,7,13
63,69,63,70
72,80,72,80
76,83,76,84
91,101,91,100
111,119,112,118
122,129,121,128
135,143,135,146
182,194,183,196
