GFP_start,GFP_end,RFP_start,RFP_end
43,73,69,79
81,127,124,130
99,156,151,159
258,285,282,289
91,103,102,108
114,131,129,137
123,150,147,154
279,309,305,311
59,139,135,143
327,342,338,346
344,368,363,371
81,122,118,127
130,154,146,155
203,226,223,228
228,254,248,255
41,60,55,63
31,76,69,79
85,115,110,118
138,154,148,157
136,186,177,188
142,222,216,224
304,331,327,335
366,390,385,395
31,54,49,57
58,113,109,115
120,133,129,137
163,182,179,188
185,221,216,223
220,237,234,242
166,271,266,275
295,333,329,338
334,374,368,378
100,122,117,122
89,119,116,121
216,242,236,245
232,254,249,257
271,308,303,307
289,334,330,338
353,378,375,380
29,176,172,180
290,307,302,311
