GFP_start,GFP_end,RFP_start,RFP_end
76,98,92,97
105,117,116,117
118,131,127,132
104,119,113,116
168,200,192,198
234,261,254,261
264,285,279,285
282,338,327,337
15,32,25,32
32,75,65,74
78,119,109,118
116,134,129,135
156,179,172,179
182,198,190,198
210,228,223,229
231,257,249,256
261,288,278,287
272,299,291,300
37,59,50,57
157,200,190,199
217,229,224,230
241,269,261,268
305,327,320,328
353,370,365,374
15,32,24,32
143,164,156,162
145,161,155,159
174,191,184,191
181,203,196,203
187,205,201,204
242,269,263,269
262,282,277,282
272,287,281,287
42,57,50,57
36,61,55,62
119,143,137,144
125,147,143,147
204,229,221,228
226,250,241,250
264,279,272,279
336,358,346,355
373,392,385,393
335,359,350,358
354,376,366,376
