GFP_start,GFP_end,RFP_start,RFP_end
2,8,6,11
20,28,26,29
34,40,38,41
34,42,40,44
43,54,50,55
62,69,66,71
73,81,78,81
93,113,102,115
131,137,135,142
125,136,133,136
140,150,148,151
164,173,169,176
184,195,190,196
203,216,211,220
216,223,220,225
226,242,236,242
236,242,239,247
227,237,235,238
251,262,258,262
246,256,253,255
251,262,258,262
259,271,268,273
259,273,270,277
260,269,265,273
264,277,274,281
264,273,270,273
146,158,150,161
206,221,214,224
232,240,236,240
268,280,276,281
277,286,281,292
308,318,314,319
330,337,334,341
374,389,382,392
382,392,389,394
191,198,195,199
217,228,223,231
221,235,229,239
376,390,385,396
4,12,8,16
3,16,11,19
7,17,14,17
22,25,23,26
38,48,45,52
54,62,59,63
