GFP_start,GFP_end,RFP_start,RFP_end
37,55,48,56
52,75,69,75
122,155,148,157
272,297,286,294
315,360,352,363
4,28,21,29
15,35,22,35
19,41,34,42
35,55,45,57
30,66,58,67
38,60,55,62
132,174,167,174
196,231,221,231
260,282,275,283
275,306,298,308
271,289,282,290
321,344,338,344
365,390,383,390
56,89,82,88
90,109,103,110
110,144,137,145
132,151,145,151
162,196,184,194
225,250,242,250
279,298,290,298
302,321,315,320
350,373,364,372
248,259,255,260
258,269,265,271
288,304,297,306
376,392,388,394
35,65,54,65
69,88,82,89
73,93,86,94
234,268,258,268
276,298,291,298
320,335,327,335
324,340,335,342
354,368,357,370
344,375,365,374
