GFP_start,GFP_end,RFP_start,RFP_end
9,18,12,20
16,25,18,31
31,41,32,41
44,50,44,53
64,70,64,72
76,81,76,82
76,83,77,85
93,98,92,98
108,117,110,118
183,188,183,194
208,218,212,221
239,247,242,250
271,278,271,280
379,383,379,384
57,64,58,68
86,94,88,99
101,118,102,118
122,130,125,136
184,192,184,196
197,202,197,207
209,216,211,221
216,228,216,229
246,253,247,256
252,256,252,259
265,270,265,271
268,272,267,274
273,282,274,281
284,295,287,296
296,302,297,307
305,311,307,312
316,322,317,323
334,342,335,343
363,369,363,370
376,381,377,384
17,22,18,23
20,26,21,29
30,36,31,38
45,52,46,54
53,58,53,58
81,86,82,88
92,101,95,105
109,115,109,116
163,169,164,169
194,199,195,201
216,221,217,223
227,232,227,232
244,248,245,253
249,257,250,257
252,258,253,261
268,272,268,274
283,287,282,289
302,306,303,307
321,325,322,328
325,330,325,330
367,373,368,372
381,385,381,385
