GFP_start,GFP_end,RFP_start,RFP_end
10,19,15,20
12,25,22,26
32,39,36,41
30,39,36,40
34,41,38,43
45,55,52,56
61,68,65,70
71,84,81,85
79,97,94,100
108,113,111,115
102,118,115,119
118,131,128,132
134,141,138,142
144,150,148,152
158,167,163,168
167,177,173,178
172,190,187,193
194,204,202,206
217,230,228,231
238,251,248,254
269,283,281,285
289,310,307,313
323,341,338,342
343,351,349,353
58,78,76,79
118,128,125,131
138,141,139,142
153,161,157,163
181,197,193,200
229,239,236,240
247,259,255,260
254,268,264,268
266,276,273,278
340,347,344,347
345,353,350,355
357,369,367,372
385,396,392,399
33,44,41,45
72,98,94,99
102,123,120,126
149,159,155,161
177,188,185,190
247,257,254,257
259,274,270,276
259,274,271,277
271,287,281,286
314,324,320,327
348,357,354,357
377,388,384,389
