GFP_start,GFP_end,RFP_start,RFP_end
3,20,12,21
29,51,40,51
100,114,107,114
109,127,119,127
185,204,195,204
204,220,211,220
246,260,251,260
272,288,281,287
375,390,382,391
35,51,43,52
159,180,171,181
196,212,204,212
344,359,352,360
350,367,361,369
204,220,213,220
42,55,48,54
15,28,22,28
20,33,25,33
55,72,63,73
177,198,188,198
243,261,253,260
303,318,312,318
349,361,355,362
62,80,69,81
193,221,210,220
248,276,260,274
90,114,101,113
98,126,113,125
339,362,351,362
92,110,105,110
123,147,139,148
210,224,218,224
351,368,361,369
28,43,34,42
97,109,103,110
130,144,138,144
267,281,274,281
371,385,376,384
240,257,249,256
282,294,288,293
355,364,359,364
