GFP_start,GFP_end,RFP_start,RFP_end
42,126,116,127
57,132,123,133
121,233,224,236
182,234,227,237
92,235,226,236
98,173,156,171
13,187,177,191
87,146,136,149
149,241,231,249
321,331,324,334
144,200,191,204
31,181,172,186
121,230,220,231
121,230,221,232
115,246,235,245
167,249,241,248
186,247,241,248
227,379,367,379
92,143,121,145
240,379,367,379
194,365,355,368
115,143,121,145
30,126,119,128
84,170,162,171
78,332,323,333
56,148,137,150
43,200,192,202
209,360,344,364
132,243,226,241
331,386,374,387
159,194,184,193
99,275,264,277
190,353,346,357
80,180,167,182
172,271,251,274
42,189,175,192
192,258,243,259
69,151,141,157
191,364,350,365
52,185,174,186
