GFP_start,GFP_end,RFP_start,RFP_end
122,298,266,295
46,108,87,105
32,371,347,368
205,390,364,390
39,316,300,314
39,389,375,388
89,155,138,155
35,288,258,282
121,326,312,326
63,308,269,306
73,210,177,209
234,371,360,373
204,332,304,329
180,284,273,284
13,138,114,142
37,106,94,106
196,239,225,238
134,292,265,286
195,276,262,275
22,191,157,189
268,305,282,305
81,169,160,169
115,146,134,145
148,253,228,249
201,371,361,370
93,298,276,296
14,118,106,118
163,212,200,213
98,339,317,333
64,105,91,107
272,376,364,379
112,400,378,398
233,262,254,260
11,200,181,196
61,396,362,376
119,244,231,245
120,304,294,304
35,178,165,177
29,56,44,55
23,346,325,345
