GFP_start,GFP_end,RFP_start,RFP_end
13,129,115,131
92,163,149,166
166,214,204,214
220,333,303,332
251,285,270,285
357,378,368,377
145,224,213,228
224,318,289,320
116,211,197,214
266,355,335,354
57,85,59,82
25,231,201,226
249,298,265,289
38,108,87,107
104,174,152,175
33,85,68,89
60,164,148,165
147,217,200,216
224,291,269,290
341,384,371,384
61,239,217,237
239,347,333,349
299,357,348,356
253,369,344,364
53,128,106,127
52,107,69,99
53,128,107,127
233,348,333,349
28,101,90,104
48,113,104,116
100,133,116,133
70,183,161,180
56,118,107,118
273,317,304,318
180,321,291,322
