GFP_start,GFP_end,RFP_start,RFP_end
177,270,181,250
193,217,195,214
325,358,326,352
306,325,308,324
260,279,260,278
56,88,54,86
69,115,68,101
177,206,177,204
195,234,194,213
93,105,93,104
169,188,173,185
236,256,238,254
241,271,245,267
276,284,276,282
348,365,351,365
12,34,11,34
61,93,60,94
121,160,123,150
164,203,165,197
181,213,183,210
261,294,263,286
328,353,330,350
331,359,332,357
281,303,282,298
14,43,17,43
45,70,49,68
89,124,90,123
126,158,128,151
254,289,256,287
355,398,350,378
19,49,22,41
36,71,39,66
45,76,45,69
89,113,89,110
136,170,139,164
174,205,179,199
242,259,247,254
261,287,264,284
