,Protein,Start (s),Start_SD (s),End (s),End_SD (s),Lifetime (s),SE (s)
S. cerevisiae,Ede1,-107.61,66.38,2.4,3.51,110.01,66.48
S. cerevisiae,Pan1,-39.7,31.01,3.83,1.8,43.52,31.06
S. cerevisiae,Sla1,-20.54,9.09,6.95,2.54,27.49,9.44
S. cerevisiae,Wasp,-21.39,9.06,7.53,2.56,28.92,9.41
S. cerevisiae,Myo3,-2.07,1.0,9.21,2.47,11.28,2.67
S. cerevisiae,Myo5,-2.52,0.87,9.24,1.71,11.76,1.92
S. cerevisiae,Rvs167,1.33,1.1,5.55,1.38,4.22,1.76
S. cerevisiae,Fim1,-1.59,0.0,7.75,2.2,9.34,2.2
S. pombe,Ucp8,-60.39,27.33,0.81,3.84,61.2,27.6
S. pombe,Ede1,-48.72,23.43,1.02,3.25,49.74,23.65
S. pombe,Pan1,-40.02,11.16,2.73,1.75,42.76,11.3
S. pombe,Sla1,-9.35,2.56,2.86,2.15,12.21,3.35
S. pombe,Wasp,-2.88,1.28,5.01,2.5,7.89,2.8
S. pombe,Myo1,-2.13,0.76,4.47,1.48,6.6,1.66
S. pombe,Rvs167,0.63,1.36,4.2,1.74,3.57,2.21
S. pombe,Fim1,-1.8,0.0,6.68,2.89,8.49,2.89
U. maydis,Ede1,-25.31,5.45,-2.36,2.41,22.95,5.96
U. maydis,Pan1,-11.07,4.44,1.1,1.75,12.17,4.77
U. maydis,Sla1,-13.66,4.66,2.83,1.41,16.49,4.87
U. maydis,Wasp,-11.98,5.37,2.22,0.94,14.2,5.45
U. maydis,Myo1,-1.67,0.45,3.25,0.85,4.92,0.96
U. maydis,Rvs167,0.12,1.64,3.12,1.94,3.0,2.54
U. maydis,Fim1,-1.55,0.0,5.07,1.63,6.62,1.63
