[cm],Mean
0,379.324310303
1,253.594589233
2,306.567565918
3,295.945953369
4,302.513519287
5,305.810821533
6,236.918914795
7,307.162170410
8,321.108093262
9,199.108108521
10,298.297302246
11,363.594604492
12,457.000000000
13,454.270263672
14,639.891906738
15,728.486511230
16,1112.540527344
17,1934.135131836
18,2542.648681641
19,3227.783691406
20,4043.946044922
21,3814.351318359
22,3235.621582031
23,2877.405517578
24,3064.216308594
25,3049.189208984
26,2109.729736328
27,1699.459472656
28,1257.243286133
29,939.216186523
30,726.000000000
31,592.432434082
32,279.729736328
33,298.864868164
34,503.135131836
35,364.216217041
36,399.648651123
37,289.594604492
38,319.648651123
