[cm],Mean
0,313.540527344
1,332.702697754
2,494.594604492
3,421.324310303
4,500.702697754
5,602.621643066
6,727.621643066
7,844.945922852
8,920.270263672
9,1366.540527344
10,1521.675659180
11,1774.567626953
12,2320.297363281
13,2817.918945312
14,3011.053955078
15,2661.567626953
16,3333.918945312
17,3233.027099609
18,3101.675781250
19,3509.405517578
20,4487.405273438
21,5275.216308594
22,5328.135253906
23,5753.892089844
24,5152.756835938
25,5026.837890625
26,4872.837890625
27,4764.324218750
28,4273.675781250
29,4447.513671875
30,3779.027099609
31,3657.162109375
32,2664.027099609
33,2798.621582031
34,1871.837890625
35,2544.162109375
36,1615.162109375
37,949.972961426
38,752.243225098
39,595.837829590
40,223.621627808
41,353.135131836
42,483.081085205
43,391.405395508
44,252.135131836
45,288.432434082
