#                  frames                    t (s)                  x (pxl)                  y (pxl)                        f
                     71.0                   44.512                      nan                      nan                      nan
                     72.0                   44.616                      nan                      nan                      nan
                     73.0                    44.72                      nan                      nan                      nan
                     74.0                   44.824       1.1339258669898693      0.34059857387201686                 0.870327
                     75.0                   44.928                      nan                      nan                      nan
                     76.0                   45.032                      nan                      nan                      nan
                     77.0       45.135999999999996       0.8801359783727486       0.2786625057395163                 0.816205
                     78.0                    45.24       0.9431632293047146      0.02176103792557409                 0.953693
                     79.0                   45.344       0.6629118793279817     -0.06576706513412359                 0.991455
                     80.0                   45.448       0.5625239068260687      0.09042005670681544                 1.046237
                     81.0                   45.552       0.6203276072483342       0.1170731988572805                 1.035604
                     82.0                   45.656       0.5545916707379772      0.03170490628851771                 1.166884
                     83.0                    45.76       0.4491135613184462      -0.0986430309037495                 1.255223
                     84.0                   45.864       0.3796090078451022      0.14012927819315382                 1.218158
                     85.0                   45.968       0.5495751606309128      -0.1498945256388698                  1.18311
                     86.0                   46.072       0.7401320724058065      0.20523058786314358                 1.336028
                     87.0                   46.176      0.49024343559227673      -0.1890995540528407                 1.181022
                     88.0                    46.28      0.49791346361062505      0.08990883806145063                 1.357789
                     89.0                   46.384       0.5573398106435389     0.016153049194925988                 1.522534
                     90.0                   46.488       0.4646096705651625      0.04663616055260324                 1.586941
                     91.0                   46.592       0.4952273122419889      -0.2156158370415937                 1.754472
                     92.0                   46.696       0.5795176809356724      0.04805304540660774                  1.44967
                     93.0                     46.8       0.6139626216751419     -0.08480295920913082                 1.339276
                     94.0       46.903999999999996        0.504164833822372      0.07111073245275842                 1.438116
                     95.0       47.007999999999996       0.5328654412653797     -0.08803236450844351                 1.430939
                     96.0                   47.112        0.418343140217603      -0.0541029041720531                 1.481093
                     97.0                   47.216      0.38436793101739314     -0.15255248282936107                 1.490695
                     98.0                    47.32       0.2995141251914648     -0.08487233609594139                 1.703351
                     99.0                   47.424       0.4331584726180096       0.0642244979580828                 1.524443
                    100.0                   47.528       0.3704313825152125     -0.09897044925608457                 1.682814
                    101.0                   47.632       0.5999143763045921      0.06478497246320658                  1.70883
