#                  t (s)                 x (pxl)                 y (pxl)                       f                       n             x_err (pxl)             y_err (pxl)                   f_err
     -1.9677000000000011     -0.7856720389024201    -0.09881607933451353      1.3600720000000002                    16.0     0.08801953503719227    0.050896665193517404     0.08364977459999991
      -1.874000000000001     -0.7715233552053764   -0.045244969950309806                1.475058                    17.0     0.07168068696081056     0.06674783333092835     0.14409654206008787
     -1.7803000000000009     -0.6860379175725724     0.04087804224555309      1.4184450000000002                    18.0    0.048345339265662014     0.06144071577356274     0.11877267759908988
     -1.6866000000000008     -0.6781503087021682    -0.07537097784272183      1.2868849999999998                    22.0    0.057161603219660184    0.061154576028761745     0.10135343729484143
     -1.5929000000000006      -0.610852535516988   -0.030342888628062118                 1.52521                    20.0     0.05059518109031035    0.041439298120621235      0.1654088058465721
     -1.4992000000000005     -0.6637201505653479   -0.031223143770146258      1.4299620000000002      25.999999999999996     0.04137310842813364    0.041941390065693945     0.11338837210933124
     -1.4055000000000004      -0.624166131999293    -0.04384060910883831                1.411026                    27.0     0.04828536240487567     0.04019802064393183     0.11976808226034137
     -1.3118000000000003     -0.6006368972022672    -0.07164740592064227                1.636881                    30.0     0.03809676863700162     0.04287582519131253      0.1401854661596182
     -1.2181000000000002     -0.6711767250251106    -0.03884893366237104                1.445149                    33.0    0.038038454464569944     0.04003138126197831     0.09357970040138222
                 -1.1244     -0.6403195366187676   -0.004951505537578427                1.412658                    35.0     0.02933708014367472     0.04309760021261291     0.11057976845897859
                 -1.0307      -0.710989656613316  -0.0011151429220895722                1.688131                    35.0    0.049374478388955506     0.03870682084203759     0.11843498656011987
                  -0.937     -0.7122402308682895    -0.07246986562661811                1.669973                    37.0     0.02694729495226707     0.03915420151700802     0.11229274942063404
                 -0.8433     -0.6396769557368347    0.019509527479598457                1.755484                    39.0    0.025884621722564564    0.027969566770381173      0.1398829393738856
                 -0.7496     -0.6293884285850532    -0.06216453131666393                1.824752                    38.0     0.02827466506493297    0.021607599489265123     0.13225760554163463
                 -0.6559     -0.6515811292318775    -0.06169857675705259                1.795679                    44.0     0.02510550395017978    0.023901788663071334     0.12982453963502466
                 -0.5622     -0.6764355025078468    -0.05077003615803294               1.8019015                    44.0    0.021554922518768057     0.02056570452903348     0.11354493907333005
                 -0.4685     -0.6151048652059357    -0.06951841642155368                1.817787                    48.0     0.01460291132265139    0.015384245855927556     0.12335670502061961
                 -0.3748     -0.6361718345434519    -0.07430995952164703                1.752072       51.00000000000001    0.028755043672831708      0.0185351384145097     0.10766069610486563
                 -0.2811     -0.6209291814434279    -0.05795952583215298                1.876522                    49.0    0.025201695081023733    0.019232747788172334     0.10553422139999999
                 -0.1874     -0.6158638731638286      -0.068713429127375                2.003092                    50.0     0.02132044522488505     0.01757122860233033     0.12511411626055424
                 -0.0937     -0.6094998016433998     -0.0541350456033647                1.990145                    50.0    0.020405182977833572    0.016455340280056085     0.10240000469023577
                     0.0     -0.5993894209281799    -0.09634273480180554                1.939091                    53.0     0.02288119324283641    0.015962834255701153     0.11312209803489505
                  0.0937      -0.618012082738236   -0.040980024283117186                2.236876                    52.0    0.014783781775675405      0.0112228624338711     0.13409557239975214
                  0.1874      -0.603498671582578    -0.07449410015143282                2.391034                    53.0    0.018290222367261286    0.018125896965302434     0.14469468818747525
                  0.2811     -0.5990275089388586    -0.04638007510607919               2.3096515                    54.0    0.017539716970177158    0.015723820260625423     0.12717617904619027
                  0.3748       -0.57338595782202    -0.05255789531425386                2.532182       54.00000000000001    0.015620590548898822    0.015075337776356872     0.12312198697240902
                  0.4685     -0.5719090335688781     -0.0569901668751642               2.6165405                    54.0    0.017845912027331726    0.015743307206740977     0.12560247986604178
                  0.5622     -0.5800649253954692     -0.0362659391454373                2.741811                    55.0    0.018408430172657836    0.014254588180110841     0.13390622348201311
                  0.6559     -0.5724959875141392    -0.05596423549361131                2.781683       55.00000000000001     0.01578490265985699     0.01686814558127345     0.11136275031433722
                  0.7496     -0.5457433839033222    -0.07609569377021537                2.792991                    55.0    0.015433953659160504    0.012829541968057747      0.1287898310518452
                  0.8433     -0.5417756836602912    -0.06683497647829609      2.8538110000000003       54.00000000000001    0.017209712920770948    0.009999262259458507       0.135230795138431
                   0.937     -0.5342706254887409    -0.07577547794623259                3.242245                    56.0     0.01298189686865657    0.010138911722301865     0.12333324311873467
                  1.0307     -0.5431118811061573    -0.06916695087834596                3.259067                    56.0    0.013082229284402513    0.012187452651867194     0.14484955374743522
                  1.1244     -0.5259957248683755    -0.02792036620696464                3.488631                    57.0    0.011723198268834828    0.010494893944604637     0.13922253132989465
      1.2181000000000002     -0.5284176718283642    -0.06813283010174719                3.487969                    57.0    0.013695008889627618    0.013473397939915454       0.164305335068651
                  1.3118     -0.5274676753009558    -0.04882112495403401                3.403395                    57.0    0.015100077419822947    0.014287890912679428     0.12070199655541455
                  1.4055     -0.5114854415697512    -0.05599930621157047               3.6070215       58.00000000000001    0.012744446343994398    0.012722391124755017     0.12447757559505998
                  1.4992    -0.47590515293930763    -0.06943787724089708                3.693637       56.99999999999999     0.01111166180244343    0.011348473899265531      0.1461272785858695
      1.5929000000000002     -0.4684122397612027    -0.07091633008841648                3.832086       58.00000000000001    0.013838551477444363    0.011426575389649356      0.1479746434452321
                  1.6866    -0.45308452036774166   -0.058323894860066366                3.970574                    59.0    0.011807795735564917    0.008706632069214286     0.14624130598116789
                  1.7803    -0.46665303968808713    -0.07186656053921682                4.092772       59.00000000000001    0.014650885508214225    0.012746877338234916     0.12813505202307948
                   1.874     -0.4364914417620215    -0.07232306060911076               4.2017545       59.99999999999999    0.012774223717507633     0.00993569003038571       0.126109395791304
      1.9677000000000002    -0.41209094250470113    -0.05846142191297074                4.143369                    59.0    0.013994286153654386     0.01061452399499526     0.14366934007289411
                  2.0614    -0.40757157433144314    -0.08389666432363703               4.3449605       60.00000000000001    0.012292211625404002    0.010094627851496066     0.13053941445296469
                  2.1551    -0.40265185247597574    -0.06796991275542653                4.574507                    59.0    0.013470313024762065    0.011678029589430748      0.1405600118315148
                  2.2488    -0.35972032242683355     -0.0402815602904496               4.4696175       59.99999999999999    0.015717268453413934    0.011981152871096494     0.15121666293078745
      2.3425000000000002     -0.3475217655815796    -0.05681104101381176                4.645421                    59.0    0.011729172040577916    0.009022697748423653      0.1494996441798599
      2.4362000000000004     -0.3395123699378443    -0.05000565496192527       4.696320500000001                    60.0     0.01002535410683844    0.011535875305187963     0.14121107962820317
                  2.5299    -0.33740651055359633    -0.04646585738464829       4.628057999999999                    60.0    0.010971332449528024     0.01052754264050424     0.13481755496348993
                  2.6236     -0.3378285247485163   -0.052608569038795634                4.735565                    60.0    0.009636372299282719     0.01031071936441471     0.12850805614420668
      2.7173000000000003     -0.3275004360747738    -0.04772712356336807               4.7615555                    60.0    0.011590571079084363    0.008999769598477168      0.1494550869207379
                   2.811     -0.3195164310992313     -0.0617859523466028                4.828129       59.99999999999999    0.010705351195958198    0.008655583491458613      0.1397978567814383
                  2.9047     -0.2945816579945911    -0.05356827229744108                5.108465                    59.0    0.013766491542724399     0.01104335571734794     0.14496526345812108
                  2.9984    -0.28298071731681285     -0.0630610069533251               5.1271195                    60.0    0.010508555486445125    0.009590665001986276     0.14515321245842833
      3.0921000000000003    -0.27528628978650604   -0.050705058529656295       5.211811000000001       60.00000000000001    0.010612894340429852     0.00817789496563626     0.14267129187144414
      3.1858000000000004    -0.25630317922098694   -0.039224981110507325               5.0912445                    60.0    0.010484759559212489    0.011354598910282617     0.15439720387271075
                  3.2795    -0.23961707861934492    -0.06167433229715724                5.200377                    60.0    0.011467720752746687    0.010659273298945289     0.14848323901602503
                  3.3732    -0.23777816450517408   -0.054467281236050456      5.3021875000000005                    60.0    0.012095123650545563    0.010888610007470224     0.14714782142248825
