#                  frames                    t (s)                  x (pxl)                  y (pxl)                        f
                    -32.0      -1.9677000000000011                      nan                      nan                      nan
                    -31.0       -1.874000000000001                      nan                      nan                      nan
                    -30.0      -1.7803000000000009                      nan                      nan                      nan
                    -29.0      -1.6866000000000008                      nan                      nan                      nan
                    -28.0      -1.5929000000000006                      nan                      nan                      nan
                    -27.0      -1.4992000000000005                      nan                      nan                      nan
                    -26.0      -1.4055000000000004                      nan                      nan                      nan
                    -25.0      -1.3118000000000003                      nan                      nan                      nan
                    -24.0      -1.2181000000000002                      nan                      nan                      nan
                    -23.0                  -1.1244                      nan                      nan                      nan
                    -22.0      -1.0307000000000002                      nan                      nan                      nan
                    -21.0      -0.9370000000000002                      nan                      nan                      nan
                    -20.0      -0.8433000000000002                      nan                      nan                      nan
                    -19.0      -0.7496000000000002                      nan                      nan                      nan
                    -18.0      -0.6559000000000001                      nan                      nan                      nan
                    -17.0      -0.5622000000000001                      nan                      nan                      nan
                    -16.0     -0.46850000000000014                      nan                      nan                      nan
                    -15.0     -0.37480000000000013                      nan                      nan                      nan
                    -14.0      -0.2811000000000001                      nan                      nan                      nan
                    -13.0     -0.18740000000000012                      nan                      nan                      nan
                    -12.0     -0.09370000000000012                      nan                      nan                      nan
                    -11.0  -1.1102230246251565e-16                      nan                      nan                      nan
                    -10.0       0.0936999999999999                      nan                      nan                      nan
                     -9.0       0.1873999999999999                      nan                      nan                      nan
                     -8.0       0.2810999999999999                      nan                      nan                      nan
                     -7.0       0.3747999999999999                      nan                      nan                      nan
                     -6.0       0.4684999999999999                      nan                      nan                      nan
                     -5.0       0.5621999999999999                      nan                      nan                      nan
                     -4.0       0.6558999999999999                      nan                      nan                      nan
                     -3.0       0.7495999999999999                      nan                      nan                      nan
                     -2.0       0.8432999999999999                      nan                      nan                      nan
                     -1.0       0.9369999999999999                      nan                      nan                      nan
                      0.0                   1.0307       0.5459090463137006     -0.05166398592515095                  5.05505
                      1.0                   1.1244       0.5248564499105276     -0.06461918988668522                 5.280412
                      2.0                   1.2181      0.43132477290290666      -0.0750574115810845                 5.081904
                      3.0       1.3117999999999999       0.4129934906380084      0.05797355351924856                 5.243639
                      4.0                   1.4055        0.444935678624063      0.13942221702370783                 5.426162
                      5.0                   1.4992      0.46566774233201924     0.048761694940453904                 5.348112
                      6.0                   1.5929      0.49230801395858986      0.09414909795782868                 5.318246
                      7.0       1.6865999999999999       0.4444937620860367      0.10656874186850901                 5.571025
                      8.0                   1.7803      0.46062202463415164       0.1006747214936517                 5.424763
                      9.0                    1.874      0.42333509111405454      0.09919078966620407                  6.01924
                     10.0                   1.9677      0.39745049982907255      0.10910369615266233                 6.179509
                     11.0                   2.0614       0.3390140586766183      0.10887322828903698                 5.916519
                     12.0                   2.1551      0.34740637409252667      0.11377743943457301                  6.27349
                     13.0                   2.2488       0.3917572607717449      0.11975116388147904                 6.148101
                     14.0       2.3425000000000002      0.42128897146240984      0.09161666909868128                 6.385426
                     15.0                   2.4362       0.4075210128347973      0.07256469890585762                 6.084918
                     16.0                   2.5299      0.35281403526369004       0.1243828581749121                 6.337692
                     17.0                   2.6236      0.30669576356641176      0.14224448115987964                 6.595587
                     18.0                   2.7173      0.34752140350689864       0.1491203122696133                 6.748107
                     19.0                    2.811      0.34463939403549515      0.11474767567586314                 6.986434
                     20.0                   2.9047      0.35026487110422605     0.015335526308931632                 6.836399
                     21.0                   2.9984       0.3672564909401859     -0.02204973640713659                   7.0366
                     22.0                   3.0921      0.34912622638193436    -0.027373407325571614                 6.811276
                     23.0                   3.1858      0.32879569751148124     0.011826213805869054                 6.857752
                     24.0                   3.2795       0.3002759083963641     -0.04248147794060446                 6.818721
                     25.0                   3.3732      0.29473173773505434     -0.12571666357552122                 6.383625
                     26.0       3.4669000000000003       0.3496274118470598     -0.16410321617911983                 6.627956
                     27.0                   3.5606       0.3499605755012154     -0.06409119121221486                 7.242744
                     28.0                   3.6543      0.25210440441015874     -0.05916898059100206                 6.823433
                     29.0                    3.748       0.3012429205190361     -0.04411449954322237                 6.955815
                     30.0                   3.8417      0.22785347003467255     -0.11282441992304608                 7.214262
                     31.0                   3.9354      0.19430914089494436    -0.019905657040803805                 7.225636
                     32.0                   4.0291      0.24429274774121973      0.02975693261818202                 7.655966
                     33.0                   4.1228      0.22605719468708155      0.02383633680278293                 7.629752
                     34.0                   4.2165      0.15427966056608777      0.03797066199038399                 6.968511
                     35.0                   4.3102     -0.05176479881782674      0.09998815263773445                 7.207381
                     36.0                   4.4039     -0.10630158309987853      0.23513009326747347                 7.744198
                     37.0                   4.4976     -0.22303740495061575      0.21498974066797805                 7.579274
                     38.0                   4.5913     -0.19987186748466762      0.07943278533586184                 7.919484
                     39.0       4.6850000000000005     -0.25256365449615076      0.12698987525459055                 7.739669
                     40.0        4.778700000000001      -0.2428689978006865      0.15305608434906007                 7.424931
                     41.0        4.872400000000001     -0.28742804561356916       0.2119002811658278                 7.153163
                     42.0        4.966100000000001     -0.32742387563082037      0.12752266101551685                 7.506091
                     43.0        5.059800000000001      -0.4314688811995875      0.37615427596862683                 7.134274
                     44.0        5.153499999999999      -0.2950701195258058      0.15422160382038946                 7.290847
                     45.0        5.247199999999999      -0.3141017142019067       0.0392419131263987                 7.005095
                     46.0       5.3408999999999995     -0.33828431492111344      -0.1867805714884119                 6.641245
                     47.0                   5.4346     -0.06639272778018193      -0.6507710477742826                 5.972852
                     48.0       5.5283000000000015                      nan                      nan                      nan
                     49.0                    5.622      0.06546479968429336      -1.6973253846784573                 5.585665
                     50.0                   5.7157       0.1501861615329243       -2.112408518274034                 5.169415
                     51.0                   5.8094      0.21815569113153255      -2.4809811739826966                 5.133078
                     52.0                   5.9031      0.20649258390129555       -3.105666991025747                 4.832812
                     53.0                   5.9968       0.2561016523696268       -3.172868738523146                 4.480534
                     54.0       6.0905000000000005    -0.033391049370864456      -3.1914468761046364                  4.27533
                     55.0        6.184200000000001     -0.08543055609049777      -3.6071747371247738                 4.555583
                     56.0        6.277900000000001     -0.07435029185346798      -3.4891917848289546                  4.61383
                     57.0        6.371600000000001     -0.11104951157552079      -3.3789097644639288                 4.124756
                     58.0        6.465300000000001     0.052835691132803286      -3.1939928979258716                 4.297091
                     59.0        6.559000000000001   -0.0031713419243851737       -2.970205661129109                 4.454431
                     60.0        6.652699999999999     0.015246782424323424       -2.371794766897161                 4.006074
                     61.0       6.7463999999999995     -0.01144697809499351      -2.1081601075097085                 4.031262
                     62.0                   6.8401      -0.5386261315275689       -2.111092705694256                  4.40973
                     63.0                   6.9338      -0.5370057025086141      -1.8779451503311524                 4.493096
                     64.0                   7.0275      -0.6067281348619331      -1.8193192273555865                 4.706523
                     65.0                   7.1212      -0.6573242096991446      -1.7522476429396299                 5.468978
                     66.0                   7.2149      -1.0116416402537465      -1.8814015416271368                 5.870193
                     67.0                   7.3086      -0.7675302930417548      -1.8094864219210436                 6.158298
                     68.0                   7.4023      -0.8335849240016382      -1.7271944284237803                 5.471834
                     69.0                    7.496      -1.5787910011303716      -1.6612775481092998                 5.706305
                     70.0        7.589700000000001      -1.9159583156077864       -1.971729304322873                 5.472194
                     71.0        7.683400000000001      -2.3628421213528044      -1.9383424915990242                 5.129856
                     72.0        7.777100000000001      -2.6196411921948046      -1.8246844229559125                 4.721577
                     73.0        7.870800000000001      -2.4097257037090056       -1.712317984075065                 4.546274
                     74.0        7.964500000000003                      nan                      nan                      nan
                     75.0        8.058200000000001                      nan                      nan                      nan
                     76.0                   8.1519       -3.624253400295742      -3.1557405904498164                 3.531332
                     77.0                   8.2456      -3.8030292028625023      -3.1846858660334494                 3.078172
                     78.0                   8.3393       -4.184765734569632      -2.9165887401458197                 3.313333
                     79.0        8.433000000000002                      nan                      nan                      nan
                     80.0                   8.5267       -5.117804847467382       -3.479068133941726                  2.64519
                     81.0                   8.6204       -4.748516640091202      -3.4540022602107725                 2.715851
                     82.0                   8.7141       -4.243805407432037      -3.3801475480411076                 2.460403
                     83.0                   8.8078      -3.7932662593907644        -3.44790277058702                 2.541081
                     84.0                   8.9015       -3.486752519129196       -3.574431657327796                 1.903355
                     85.0                   8.9952      -3.5849783742381747      -3.4509282921383817                 1.820617
                     86.0                   9.0889       -3.911544048258274      -3.2764721416999523                  1.70451
                     87.0                   9.1826       -4.721773286336152      -3.5582056513021136                 1.697648
                     88.0        9.276299999999999       -4.516455392989091      -3.3924808284132957                 1.406128
                     89.0                     9.37       -4.433372936800746       -4.046817760620801                 1.211042
                     90.0                   9.4637       -4.429070606661075      -3.8867337758272815                 1.086678
                     91.0                   9.5574                      nan                      nan                      nan
                     92.0                   9.6511                      nan                      nan                      nan
                     93.0                   9.7448                      nan                      nan                      nan
                     94.0                   9.8385                      nan                      nan                      nan
                     95.0                   9.9322                      nan                      nan                      nan
                     96.0                  10.0259                      nan                      nan                      nan
                     97.0                  10.1196                      nan                      nan                      nan
                     98.0                  10.2133                      nan                      nan                      nan
                     99.0                   10.307                      nan                      nan                      nan
                    100.0                  10.4007                      nan                      nan                      nan
                    101.0                  10.4944                      nan                      nan                      nan
                    102.0                  10.5881                      nan                      nan                      nan
                    103.0                  10.6818                      nan                      nan                      nan
                    104.0       10.775500000000001                      nan                      nan                      nan
                    105.0       10.869200000000001                      nan                      nan                      nan
                    106.0       10.962900000000001                      nan                      nan                      nan
                    107.0       11.056600000000001                      nan                      nan                      nan
                    108.0       11.150300000000001                      nan                      nan                      nan
                    109.0       11.244000000000002                      nan                      nan                      nan
                    110.0       11.337700000000002                      nan                      nan                      nan
                    111.0       11.431400000000002                      nan                      nan                      nan
                    112.0       11.525100000000002                      nan                      nan                      nan
                    113.0       11.618800000000002                      nan                      nan                      nan
                    114.0       11.712500000000002                      nan                      nan                      nan
#----------------------------------------------------------------------------------------------------------------------------
# experiment: sac6_raw_trajectories
# path: /Users/andreapicco/Google Drive/RESEARCH/EvoCellBio/Protein_tracking/Data/Fimbrin/24_degree/Sc/sac6_raw_trajectories
# file: 25.data
# protein: Sac6-GFP
# date: 29/08/11
# notes: Sac6 average trajectory
# t_unit: s
# delta_t: 0.0937
# coord_unit: pxl
# intensity_normalisation: None
# l_cm: (89.10192921995261, 48.96827195693465)
# r_cm: (78.1025558998144, 65.78713374359238)
# m_angle: 0.16955074752855495
# m_lag: 11
# trajalign_version: 1.92
# lie_down_angle: 0.32081018804975
# lie_down_translation: (-77.8422233205046, -65.82603096247885)
