#               frames                 t (s)               x (pxl)               y (pxl)                     f
                 -27.0                 8.125                   nan                   nan                   nan
                 -26.0                  8.25                   nan                   nan                   nan
                 -25.0                 8.375                   nan                   nan                   nan
                 -24.0                   8.5                   nan                   nan                   nan
                 -23.0                 8.625                   nan                   nan                   nan
                 -22.0                  8.75                   nan                   nan                   nan
                 -21.0                 8.875                   nan                   nan                   nan
                 -20.0                   9.0                   nan                   nan                   nan
                 -19.0                 9.125                   nan                   nan                   nan
                 -18.0                  9.25                   nan                   nan                   nan
                 -17.0                 9.375                   nan                   nan                   nan
                 -16.0                   9.5                   nan                   nan                   nan
                 -15.0                 9.625                   nan                   nan                   nan
                 -14.0                  9.75                   nan                   nan                   nan
                 -13.0                 9.875                   nan                   nan                   nan
                 -12.0                  10.0                   nan                   nan                   nan
                 -11.0                10.125                   nan                   nan                   nan
                 -10.0                 10.25                   nan                   nan                   nan
                  -9.0                10.375                   nan                   nan                   nan
                  -8.0                  10.5                   nan                   nan                   nan
                  -7.0                10.625                   nan                   nan                   nan
                  -6.0                 10.75                   nan                   nan                   nan
                  -5.0                10.875                   nan                   nan                   nan
                  -4.0                  11.0                   nan                   nan                   nan
                  -3.0                11.125                   nan                   nan                   nan
                  -2.0                 11.25                   nan                   nan                   nan
                  -1.0                11.375                   nan                   nan                   nan
                   0.0                  11.5    1.9651588797929163  -0.17499329080498652              2.193114
                   1.0                11.625    1.8187105002327335  -0.22481449734590153              2.222948
                   2.0                 11.75    1.9249290160995354    -0.189477505806551              2.105247
                   3.0                11.875     1.811147367534866  -0.07731915070134085              2.118773
                   4.0                  12.0    1.6487707054176566   -0.0950796678581502              2.395023
                   5.0                12.125      1.49202250629443  0.053451821468608135              2.163705
                   6.0                 12.25    1.5783456990725189   0.11565992828431204              2.334903
                   7.0                12.375    1.5031786136519516    0.1921280536593666              1.978769
                   8.0                  12.5     1.397435710654055   -0.1933120779078809              2.051035
                   9.0                12.625    1.3508045019476935  -0.11230425428829605              2.149249
                  10.0                 12.75     1.350276912411825    -0.404834542980381              2.152721
                  11.0                12.875    1.1778755590996453  -0.48433181021721916              2.131231
                  12.0                  13.0    1.1935966627519217  -0.42893962183335327              2.307949
                  13.0                13.125    1.3264929974972477   -0.9025111634331958              2.146325
                  14.0                 13.25    1.2554099940738839   -0.7245816063008511              2.142391
                  15.0                13.375    1.2741637058225168  -0.37973686524532035              2.101608
                  16.0                  13.5    1.2590420209942272  -0.16187313054413194              2.230553
                  17.0                13.625       1.2644019492136   -0.3333057793555019              2.138798
                  18.0                 13.75    1.0098310440957383   -0.9508413417480335              2.356223
                  19.0                13.875    0.4955563763867935   -0.4750998059349093              2.617027
                  20.0                  14.0  -0.12161447185566193   -0.1967834040526308               3.18635
                  21.0                14.125                   nan                   nan                   nan
                  22.0                 14.25    0.6477042456976153    0.7324308103598495               3.01687
                  23.0                14.375    0.2968110593125085     1.061736975222435              3.138798
                  24.0                  14.5   -0.3134745457393423    1.0896912892275439              3.719256
                  25.0                14.625                   nan                   nan                   nan
                  26.0                 14.75    -1.147957079746771     1.281133227387822              3.805648
                  27.0                14.875                   nan                   nan                   nan
                  28.0                  15.0   -0.4538759952430905    1.3098532162318572               2.90946
                  29.0                15.125   -0.5075600914386991    0.7070438641472498              2.945951
                  30.0                 15.25   -0.7019015632169332    0.5887292106293202              2.886541
                  31.0                15.375   -0.9035063830202879    0.4599021790518749              3.103157
                  32.0                  15.5                   nan                   nan                   nan
                  33.0                15.625   -0.2174080955258021    1.9814717826133343              2.447872
                  34.0                 15.75   -0.9496704812900381     2.367625317097841              2.306034
                  35.0                15.875   -1.2969264939023797     2.472916452857593              2.544285
                  36.0                  16.0    -1.314566013664428     2.274714196605138              2.663699
                  37.0                16.125   -1.7665184490021546    1.5644441154611468              2.672959
                  38.0                 16.25                   nan                   nan                   nan
                  39.0                16.375   -2.9210307787751857    1.7316337978043737              2.092477
                  40.0                  16.5                   nan                   nan                   nan
                  41.0                16.625   -1.7152983576961467      2.83027592446248              1.821289
                  42.0                 16.75                   nan                   nan                   nan
                  43.0                16.875   -2.1674430469693244     1.326341144186398              2.317218
                  44.0                  17.0   -1.6860721456404724    1.2064092331208336              2.033967
                  45.0                17.125     -1.26053333899379    1.6006134978145619              1.763292
                  46.0                 17.25    -1.763732972710165    1.9222559805771964              1.589059
                  47.0                17.375                   nan                   nan                   nan
                  48.0                  17.5   -0.9805698626189479    2.4682812187752514              1.846799
                  49.0                17.625   -1.4941515477710392     2.369245066677496              1.838198
                  50.0                 17.75    -1.289544284825321     2.683817446783987               1.42915
                  51.0                17.875                   nan                   nan                   nan
                  52.0                  18.0   -0.8312032233515949    2.9273269245464473              1.437117
                  53.0                18.125   -0.8087795376194198    2.3349745824567254              1.399524
                  54.0                 18.25   -0.8741371486896145    1.6542625038763603              1.007747
                  55.0                18.375   -0.6275266675232052    2.4312404180469445              1.000036
                  56.0                  18.5   -0.8843736743213446    1.7963589778403057              0.956144
                  57.0                18.625                   nan                   nan                   nan
                  58.0                 18.75                   nan                   nan                   nan
                  59.0                18.875   -2.9723569270712225       1.3568247994184              0.952576
                  60.0                  19.0    -2.865366335802249    1.2204128582112124              0.779517
                  61.0                19.125    -3.569930184239408    0.9978109482880921              0.729711
                  62.0                 19.25                   nan                   nan                   nan
                  63.0                19.375                   nan                   nan                   nan
                  64.0                  19.5   -2.8331665791087506     2.387297971586933              0.646228
                  65.0                19.625                   nan                   nan                   nan
                  66.0                 19.75                   nan                   nan                   nan
                  67.0                19.875   -0.6934088976552595    2.5672397412284598              0.714528
                  68.0                  20.0   -1.0896482288171807     2.018225539317108              0.454076
                  69.0                20.125                   nan                   nan                   nan
                  70.0                 20.25                   nan                   nan                   nan
                  71.0                20.375                   nan                   nan                   nan
                  72.0                  20.5                   nan                   nan                   nan
                  73.0                20.625                   nan                   nan                   nan
                  74.0                 20.75                   nan                   nan                   nan
                  75.0                20.875                   nan                   nan                   nan
                  76.0                  21.0                   nan                   nan                   nan
                  77.0                21.125                   nan                   nan                   nan
                  78.0                 21.25                   nan                   nan                   nan
                  79.0                21.375                   nan                   nan                   nan
                  80.0                  21.5                   nan                   nan                   nan
                  81.0                21.625                   nan                   nan                   nan
                  82.0                 21.75                   nan                   nan                   nan
                  83.0                21.875                   nan                   nan                   nan
                  84.0                  22.0                   nan                   nan                   nan
                  85.0                22.125                   nan                   nan                   nan
                  86.0                 22.25                   nan                   nan                   nan
                  87.0                22.375                   nan                   nan                   nan
                  88.0                  22.5                   nan                   nan                   nan
                  89.0                22.625                   nan                   nan                   nan
                  90.0                 22.75                   nan                   nan                   nan
                  91.0                22.875                   nan                   nan                   nan
                  92.0                  23.0                   nan                   nan                   nan
                  93.0                23.125                   nan                   nan                   nan
                  94.0                 23.25                   nan                   nan                   nan
                  95.0                23.375                   nan                   nan                   nan
                  96.0                  23.5                   nan                   nan                   nan
                  97.0                23.625                   nan                   nan                   nan
                  98.0                 23.75                   nan                   nan                   nan
                  99.0                23.875                   nan                   nan                   nan
                 100.0                  24.0                   nan                   nan                   nan
                 101.0                24.125                   nan                   nan                   nan
                 102.0                 24.25                   nan                   nan                   nan
                 103.0                24.375                   nan                   nan                   nan
                 104.0                  24.5                   nan                   nan                   nan
                 105.0                24.625                   nan                   nan                   nan
                 106.0                 24.75                   nan                   nan                   nan
                 107.0                24.875                   nan                   nan                   nan
                 108.0                  25.0                   nan                   nan                   nan
                 109.0                25.125                   nan                   nan                   nan
                 110.0                 25.25                   nan                   nan                   nan
                 111.0                25.375                   nan                   nan                   nan
                 112.0                  25.5                   nan                   nan                   nan
                 113.0                25.625                   nan                   nan                   nan
                 114.0                 25.75                   nan                   nan                   nan
#-------------------------------------------------------------------------------------------------------------
