#                 frames                   t (s)                 x (pxl)                 y (pxl)                       f
                   261.0                   8.125                     nan                     nan                     nan
                   262.0                    8.25                     nan                     nan                     nan
                   263.0                   8.375                     nan                     nan                     nan
                   264.0                     8.5                     nan                     nan                     nan
                   265.0                   8.625                     nan                     nan                     nan
                   266.0                    8.75                     nan                     nan                     nan
                   267.0                   8.875                     nan                     nan                     nan
                   268.0                     9.0                     nan                     nan                     nan
                   269.0                   9.125                     nan                     nan                     nan
                   270.0                    9.25                     nan                     nan                     nan
                   271.0                   9.375                     nan                     nan                     nan
                   272.0                     9.5                     nan                     nan                     nan
                   273.0                   9.625                     nan                     nan                     nan
                   274.0                    9.75      1.3943090841275292    -0.07636295003481958                0.509383
                   275.0                   9.875       1.607659217853996     0.04884643629023944                0.775999
                   276.0                    10.0       1.725321976662181     0.04961197312788651                 0.84173
                   277.0                  10.125      1.7901003548020922     0.14736752616995874                0.821347
                   278.0                   10.25      1.7686092578402393      0.2113483732523111                 0.79959
                   279.0                  10.375      1.6488093960461494     0.19607012158154846                0.950956
                   280.0                    10.5       1.653535609354151     0.14282827934475884                1.206674
                   281.0                  10.625       1.665881349122908     0.21147399395654154                1.169912
                   282.0                   10.75      1.5695231963066372    0.005635706065691082                1.538327
                   283.0                  10.875       1.664711117562384     0.11917556275051844                 1.44874
                   284.0                    11.0      1.6587358865095216     0.05042922656548765                1.674592
                   285.0                  11.125      1.6106267921286708     0.10057053097465918                1.813117
                   286.0                   11.25       1.637799842840246     0.03693986611072547                1.886819
                   287.0                  11.375      1.5894624309054282   -0.012489325592592332                1.815485
                   288.0                    11.5      1.6078017240627278     0.05411804979849527                1.905161
                   289.0                  11.625      1.6076473238152436    -0.05049528293956093                 2.27177
                   290.0                   11.75      1.5276604927572344      0.0577649960333764                2.401108
                   291.0                  11.875       1.396548571508066   -0.025012472098666028                2.429006
                   292.0                    12.0      1.3815858981709337     0.06907200489731416                2.357485
                   293.0                  12.125      1.3871042785746581    0.051220261152786745                2.629289
                   294.0                   12.25      1.3447963186813958  0.00035142571624940944                2.631877
                   295.0                  12.375       1.196974084354951    -0.20520956393582648                 2.96429
                   296.0                    12.5       1.201342976958155    -0.35251811929641086                2.828923
                   297.0                  12.625      1.0646300532170816    -0.31099356744854595                3.148588
                   298.0                   12.75      1.1225147400925408    -0.38910519392200327                3.262646
                   299.0                  12.875      1.1970391902405002     -0.6233474645119765                2.967027
                   300.0                    13.0      1.1371268911524877     -0.6289255876719866                3.086494
                   301.0                  13.125      1.0354668479168478     -0.5063234148595654                3.429575
                   302.0                   13.25      1.0812682522536547     -0.3300104736590419                3.891141
                   303.0                  13.375      1.0567632659661605      -0.339815763866391                 3.90117
                   304.0                    13.5        0.91450901493885     -0.1708410160794426                4.375934
                   305.0                  13.625      0.9074454226122142   -0.004646809620721948                 4.30424
                   306.0                   13.75      0.8879349180227945    -0.19254193914958315                4.109242
                   307.0                  13.875      0.9191927310999395    -0.30908431644484513                4.110104
                   308.0                    14.0      0.7863124477790786    -0.10120958081166048                4.428681
                   309.0                  14.125      0.8561272325086764     -0.1491853202865559                4.328573
                   310.0                   14.25      0.6821691153710963     0.06823061621065063                4.606552
                   311.0                  14.375      0.8056755785572152   -0.042505873463064184                4.718721
                   312.0                    14.5      0.7425890149834137     0.13020032997342598                4.668976
                   313.0                  14.625      0.7129337323276368     0.01856984887346526                4.520063
                   314.0                   14.75      0.7636317618383867     -0.2538735073636084                4.381685
