#                frames                  t (s)                x (pxl)                y (pxl)                      f
                   -5.0                  8.125                    nan                    nan                    nan
                   -4.0                   8.25                    nan                    nan                    nan
                   -3.0                  8.375                    nan                    nan                    nan
                   -2.0                    8.5                    nan                    nan                    nan
                   -1.0                  8.625                    nan                    nan                    nan
                    0.0                   8.75     1.5294937907857915     0.6721983714872344               0.755543
                    1.0                  8.875     1.6182316312103118      0.654049323969668               0.940175
                    2.0                    9.0     1.5212423822082264     0.6824241139779333               1.004407
                    3.0                  9.125     1.5939678797352632     0.3265679849771269               1.151683
                    4.0                   9.25     1.9919896681014906   -0.12145676555653903               1.165614
                    5.0                  9.375     1.9286965657218005   -0.05551016610551801               1.464116
                    6.0                    9.5     1.6888251095000377   -0.21521250848988172                1.34473
                    7.0                  9.625      1.417482495607315     0.4769020607657256               1.536263
                    8.0                   9.75     1.9467009282177883    -0.1150120201195958               1.533199
                    9.0                  9.875     2.0610469580042827   -0.15153609241543187               1.762832
                   10.0                   10.0      2.070389197793329    0.21764594262654768               1.808073
                   11.0                 10.125      2.079206273783301    -0.3856897479761207               1.830765
                   12.0                  10.25      2.194416828055609    -0.4228118323231624               1.562697
                   13.0                 10.375     2.2599451384720393   -0.36477773786164874               1.666653
                   14.0                   10.5     2.2674174832153864   -0.31683483112836397               1.757455
                   15.0                 10.625      2.326774088926977    -0.5102536321881306               1.818708
                   16.0                  10.75      2.394695772786818     -0.351560977715263               1.752026
                   17.0                 10.875     2.2251575333862257    -0.4216509586108981               1.880755
                   18.0                   11.0     2.3175512242651806    -0.4355778048714483                2.10629
                   19.0                 11.125     2.4219578697921724   -0.28621133247621133               2.030705
                   20.0                  11.25     2.2299684842344862   -0.12225621657803101               2.309633
                   21.0                 11.375     2.3884386801412214    -0.5144209863104509               2.063375
                   22.0                   11.5     2.3036989898559317   -0.36533931873407527               2.244837
                   23.0                 11.625     2.2477845091544313    -0.4176215923349818                2.24079
                   24.0                  11.75     2.1161762413800815   -0.44582152909801664               2.179796
                   25.0                 11.875     2.1795911938782773    -0.5754624596433169               2.116289
                   26.0                   12.0       2.00068430153948    -0.6328653280966918                2.18634
