#                  t (s)                 x (pxl)                 y (pxl)                       f                       n             x_err (pxl)             y_err (pxl)                   f_err
                   8.125     -2.2104967697813342       0.146546697380527                0.584193                     1.0                     0.0                     0.0                     0.0
                    8.25     -2.4233426827635496      1.8513278735313439                0.861429                     2.0      0.6032472163134663      2.0026380735158407     0.18209638137529097
                   8.375     -3.0724301881501823      0.3741045438552163                0.726514                     3.0      0.2999960375074909     0.30651972664037713    0.019414471245909285
                     8.5     -2.9424364266997154      0.3603170369818761               0.6979805                     4.0      0.3691777905724122      0.1549702106493785    0.014108792250000005
                   8.625     -2.2062854384946404   -0.012302340542829311      0.6572545000000001                     4.0       0.350204823481076      0.0893894827398671     0.05360006714999997
                    8.75     -2.3531597466683754    0.046059981418498055      0.5846910000000001                    10.0       0.126261904744629      0.1285896050089409      0.0728065215461633
                   8.875     -2.2238251043410293  -0.0008832680856243388                0.627937                    11.0     0.13085700639790684    0.047466185088228946     0.07564663423175921
                     9.0      -2.156282530771142     0.07086308595894496                0.669578                    16.0     0.11185264777829501     0.07885441616071642           0.08563534665
                   9.125     -2.0573960417510913    0.023258834345872368                0.551714                    25.0     0.07752638048955626     0.06303265807222372    0.048784656480000015
                    9.25     -2.1070619444339984    0.025920674020603197                0.640708                    29.0     0.04385019358867888    0.037276506273085395     0.04987137564373007
                   9.375     -2.0151389940464206     0.08700760474556532               0.7131025                    34.0     0.03692725415894259     0.04992905222026383    0.044482053767120174
                     9.5     -2.0472335840819094      0.1203679160779724                0.698998                    47.0     0.05201248493827938     0.04408725680052872     0.04118725843969474
                   9.625     -1.9780856156825355     0.17835116764536796                0.716335       55.00000000000001     0.05509396029115722     0.04109137553646328    0.030594999175764793
                    9.75     -1.9267760510577376       0.144674813758964                0.772422                    65.0     0.04577573144671892      0.0348914570668975    0.031387378213429615
                   9.875     -1.9335977402240696      0.1518462790150981               0.7866095                    72.0    0.042186221021155816    0.028878447915124904     0.03698802715639631
                    10.0     -1.9550508471556922     0.14140062821289093                0.858269                    73.0     0.04198145974136439    0.026857557684672483     0.04050043575760861
                  10.125     -1.9416245070783862      0.1292995061132334      0.9250415000000001                    76.0    0.037304035108633775    0.025658216494174855     0.03410229122661303
                   10.25     -1.9414848990588278     0.14878405546881915                0.991793                    73.0     0.03290857606798959    0.025392518285460044     0.03420216492299065
                  10.375     -1.9124363321609243      0.1552507435000989      1.1049725000000001                    78.0     0.04037537236904497    0.020339188378812965    0.034838769884847826
