#                 frames                   t (s)                 x (pxl)                 y (pxl)                       f
                    53.0       26.08199999999997                     nan                     nan                     nan
                    54.0       26.20799999999997                     nan                     nan                     nan
                    55.0       26.33399999999997                     nan                     nan                     nan
                    56.0      26.459999999999972                     nan                     nan                     nan
                    57.0      26.585999999999974                     nan                     nan                     nan
                    58.0      26.711999999999975                     nan                     nan                     nan
                    59.0      26.837999999999976                     nan                     nan                     nan
                    60.0      26.963999999999977                     nan                     nan                     nan
                    61.0       27.08999999999998                     nan                     nan                     nan
                    62.0       27.21599999999998                     nan                     nan                     nan
                    63.0       27.34199999999998                     nan                     nan                     nan
                    64.0      27.467999999999982                     nan                     nan                     nan
                    65.0      27.593999999999983                     nan                     nan                     nan
                    66.0      27.719999999999985                     nan                     nan                     nan
                    67.0      27.845999999999986                     nan                     nan                     nan
                    68.0      27.971999999999987                     nan                     nan                     nan
                    69.0       28.09799999999999                     nan                     nan                     nan
                    70.0       28.22399999999999                     nan                     nan                     nan
                    71.0       28.34999999999999                     nan                     nan                     nan
                    72.0      28.475999999999992                     nan                     nan                     nan
                    73.0      28.601999999999993                     nan                     nan                     nan
                    74.0      28.727999999999994                     nan                     nan                     nan
                    75.0      28.853999999999996                     nan                     nan                     nan
                    76.0      28.979999999999997                     nan                     nan                     nan
                    77.0      29.105999999999998                     nan                     nan                     nan
                    78.0                  29.232                     nan                     nan                     nan
                    79.0                  29.358    -0.12401694806832668      0.1435091855746905                1.010771
                    80.0                  29.484     0.00752475045046721    0.050640693114717306                0.973893
                    81.0                   29.61    -0.11847069915249164   -0.026353589402535574                0.776821
                    82.0                  29.736    -0.16462052504723004     0.18381772978704908                 1.34253
                    83.0      29.862000000000002     -0.5355384775410443     0.13732970077102635                1.328389
                    84.0                  29.988     -0.2669169694987485     0.14034993041120442                1.563257
                    85.0                  30.114    -0.29808000138226143     0.21957935539856654                1.496563
                    86.0      30.240000000000002     -0.3545186087344756     0.17502174843698237                2.039366
                    87.0                  30.366     -0.3118680118055848      0.2301652113189115                1.856546
                    88.0                  30.492    -0.35180754048772794     0.11374013978511772                1.932278
                    89.0      30.618000000000002     -0.3696770366516661     0.15845202517196008                2.288029
                    90.0                  30.744    -0.49388685693783907     0.16390827383520068                2.533363
                    91.0      30.869999999999997    -0.23277870592573396     0.11218405726265498                2.568909
                    92.0      30.996000000000002    -0.43875261410316485      0.2914426572658847                2.952374
                    93.0                  31.122     -0.5350450664678119     0.19298084636133642                 3.06555
                    94.0      31.247999999999998      -0.599365385558031     0.27092937240981974                2.839542
                    95.0      31.374000000000002     -0.6479274212475555      0.2878876413571585                3.362564
                    96.0                    31.5     -0.5435633903512781     0.16957606432397299                3.478896
                    97.0      31.625999999999998     -0.4862640137587169      0.1918071847434472                3.726484
                    98.0      31.752000000000002    -0.47426774235995683     0.11003847294286162                3.736517
                    99.0                  31.878    -0.38005360412110056     0.17936775161289872                3.326629
                   100.0                  32.004     -0.4657777191494683      0.2820635861905689                3.805208
                   101.0                   32.13     -0.3746302864854023      0.3055796522040197                3.666505
                   102.0                  32.256    -0.44207362234941033      0.3851477261001235                3.936123
                   103.0                  32.382    -0.20716667851852794      0.4109759897861078                4.204203
                   104.0      32.507999999999996     -0.1443852351863316      0.2098982310331091                4.083467
                   105.0                  32.634    0.030882243377433213     0.36002142610267773                3.937354
                   106.0                   32.76  -0.0006323262501177068      0.4183865399052728                 4.25488
                   107.0                  32.886                     nan                     nan                     nan
                   108.0                  33.012      0.2525463454674748     0.23015857559254643                4.965002
                   109.0                  33.138     0.11963979920386109      0.5492626381462532                4.392671
                   110.0      33.263999999999996     0.02268594885969439      0.2998000992642703                 4.07869
                   111.0                   33.39     0.18269558234854208     0.17722679651132822                4.704234
                   112.0                  33.516     0.19505109618451827      -0.202789098633668                4.896008
                   113.0      33.641999999999996     0.26441589010606914     0.15515221429517462                4.314459
                   114.0                  33.768     0.13786073174185948      0.7653935140974772                3.805645
                   115.0                  33.894      0.1066408218586189    0.048866850220353523                3.609097
                   116.0      34.019999999999996     0.42177877332547375     -0.4050003409206963                4.014714
                   117.0                  34.146     0.03675158837487253     0.17594426619601541                3.766494
                   118.0      34.272000000000006                     nan                     nan                     nan
                   119.0                  34.398                     nan                     nan                     nan
                   120.0                  34.524      1.6019358346507047     -1.0906996312668529                3.101737
                   121.0                   34.65       2.119811734828435     -1.2079178426894073                2.738738
                   122.0      34.775999999999996       2.332194062043358     -1.4895395875028652                2.233795
                   123.0                  34.902      1.8970987050031656     -1.0011463819941588                2.765937
                   124.0      35.028000000000006                     nan                     nan                     nan
                   125.0                  35.154                     nan                     nan                     nan
                   126.0                   35.28       2.151092285436378     -1.6577042419187111                1.798408
                   127.0      35.406000000000006                     nan                     nan                     nan
                   128.0                  35.532       2.077444987970901      -1.418888469824341                1.077917
                   129.0                  35.658                     nan                     nan                     nan
                   130.0                  35.784       0.973988149271126     -1.0728466678311068                1.366745
                   131.0                   35.91                     nan                     nan                     nan
                   132.0                  36.036       1.170860233893034       -0.85983503988176                1.695776
                   133.0                  36.162                     nan                     nan                     nan
                   134.0                  36.288                     nan                     nan                     nan
                   135.0      36.413999999999994                     nan                     nan                     nan
                   136.0       36.53999999999999                     nan                     nan                     nan
                   137.0       36.66599999999999                     nan                     nan                     nan
                   138.0       36.79199999999999                     nan                     nan                     nan
                   139.0      36.917999999999985                     nan                     nan                     nan
                   140.0       37.04399999999998                     nan                     nan                     nan
                   141.0       37.16999999999998                     nan                     nan                     nan
                   142.0       37.29599999999998                     nan                     nan                     nan
                   143.0      37.421999999999976                     nan                     nan                     nan
                   144.0       37.54799999999997                     nan                     nan                     nan
                   145.0       37.67399999999997                     nan                     nan                     nan
                   146.0       37.79999999999997                     nan                     nan                     nan
                   147.0      37.925999999999966                     nan                     nan                     nan
                   148.0      38.051999999999964                     nan                     nan                     nan
                   149.0       38.17799999999996                     nan                     nan                     nan
                   150.0       38.30399999999996                     nan                     nan                     nan
                   151.0       38.42999999999996                     nan                     nan                     nan
                   152.0      38.555999999999955                     nan                     nan                     nan
                   153.0       38.68199999999995                     nan                     nan                     nan
                   154.0       38.80799999999995                     nan                     nan                     nan
                   155.0       38.93399999999995                     nan                     nan                     nan
                   156.0      39.059999999999945                     nan                     nan                     nan
                   157.0       39.18599999999994                     nan                     nan                     nan
                   158.0       39.31199999999994                     nan                     nan                     nan
                   159.0       39.43799999999994                     nan                     nan                     nan
                   160.0      39.563999999999936                     nan                     nan                     nan
#-----------------------------------------------------------------------------------------------------------------------
# experiment: 210610_MKUM0005_fast/
# path: /Users/andreapicco/Google Drive/RESEARCH/EvoCellBio/Protein_tracking/Data/Fimbrin/24_degree/Um/210610_MKUM0005_fast/
# file: 01.data.txt
# protein: Fim1-GFP
# date: 10/06/21
# notes: strain MKUM0005; Fim1-GFP in U. Maydis
# t_unit: s
# delta_t: 0.126
# coord_unit: pxl
# intensity_normalisation: None
# l_cm: (65.35030208658702, 99.36994609533663)
# r_cm: (33.77367775328362, 89.8995390981611)
# m_angle: -2.2128976779596314
# m_lag: 154
# trajalign_version: 1.92
# lie_down_angle: 1.3143352484234112
# lie_down_translation: (-33.73554982343701, -89.97939675422421)
