#                frames                  t (s)                x (pxl)                y (pxl)                      f
                  -18.0      26.08199999999998                    nan                    nan                    nan
                  -17.0      26.20799999999998                    nan                    nan                    nan
                  -16.0     26.333999999999982                    nan                    nan                    nan
                  -15.0     26.459999999999983                    nan                    nan                    nan
                  -14.0     26.585999999999984                    nan                    nan                    nan
                  -13.0     26.711999999999986                    nan                    nan                    nan
                  -12.0     26.837999999999987                    nan                    nan                    nan
                  -11.0     26.963999999999988                    nan                    nan                    nan
                  -10.0      27.08999999999999                    nan                    nan                    nan
                   -9.0      27.21599999999999                    nan                    nan                    nan
                   -8.0      27.34199999999999                    nan                    nan                    nan
                   -7.0     27.467999999999993                    nan                    nan                    nan
                   -6.0     27.593999999999994                    nan                    nan                    nan
                   -5.0     27.719999999999995                    nan                    nan                    nan
                   -4.0     27.845999999999997                    nan                    nan                    nan
                   -3.0     27.971999999999998                    nan                    nan                    nan
                   -2.0                 28.098                    nan                    nan                    nan
                   -1.0                 28.224                    nan                    nan                    nan
                    0.0                  28.35     1.1657157448485393    0.19573849965194473               1.460466
                    1.0     28.476000000000003      2.004131103439578    0.06934797560576872               1.511861
                    2.0                 28.602                    nan                    nan                    nan
                    3.0                 28.728      2.135685104887763   -0.07202972052756368               1.457696
                    4.0     28.854000000000003                    nan                    nan                    nan
                    5.0                  28.98    0.26141336991354125    0.16957843979137704               1.340499
                    6.0                 29.106    -0.5313689685556184      0.672482083410509               1.459834
                    7.0     29.232000000000003                    nan                    nan                    nan
                    8.0                 29.358     0.8110804214502996   -0.18132001419335983               1.643831
                    9.0                 29.484   0.008354014784593355    -0.6999568057551881               1.628924
                   10.0     29.610000000000003    -0.3439581443414364  -0.045389577414993054               2.133618
                   11.0                 29.736    -0.3231713154761276   -0.10061721313048493               2.197089
                   12.0     29.862000000000002     0.2778090620782129    -0.8018548527040096               1.852724
                   13.0                 29.988   0.007572505769255888    -0.7149163875561211               1.789471
                   14.0                 30.114    -0.2814207165144915   -0.26391657256385537               2.320344
                   15.0     30.240000000000002    0.15295783546650973    -0.4643695705381802               2.184415
                   16.0                 30.366    0.07043561796658124   -0.40770848788089054               2.182692
                   17.0                 30.492   0.020846356089589013    -0.8634964065212349               2.033953
                   18.0     30.618000000000002    0.05395507054537546    -0.7842822822940194               2.270467
                   19.0                 30.744     0.2359462174835507    -0.7598232993607991               2.144754
                   20.0                  30.87    0.22410622760311674      -0.75884391096426               2.148229
                   21.0     30.996000000000002    0.20778109145344362    -0.8910850823583973               1.876347
                   22.0                 31.122    0.23615736491760295    -0.8631788117138546               2.042928
                   23.0                 31.248                    nan                    nan                    nan
                   24.0     31.374000000000002     0.4700444103164941    -0.6904452370834978               2.600912
                   25.0                   31.5    0.45194826511605696    -0.8156714910196587               3.412679
                   26.0                 31.626    0.37749081012640373    -0.7486638476462207               3.317923
                   27.0     31.752000000000002     0.8277488302822029    -0.9354790104739937               3.146875
                   28.0                 31.878      0.817953119825651    -0.7341087011886982               2.781718
                   29.0     32.004000000000005                    nan                    nan                    nan
                   30.0                  32.13                    nan                    nan                    nan
                   31.0                 32.256     0.5698915719017638    -0.3328498928921091               4.182981
                   32.0     32.382000000000005     0.6768113863222176    -0.2307810281717685               4.042483
                   33.0                 32.508    0.24947231772363515      0.260549903435744               4.447778
                   34.0                 32.634    0.07532885418383128    0.10253630474449638               4.209791
                   35.0     32.760000000000005    -0.1011362573526711    0.22140333907869875               3.772362
                   36.0                 32.886  -0.051362829801751414    0.16108479365663192                3.58244
