#                 frames                   t (s)                 x (pxl)                 y (pxl)                       f
                    92.0      31.454499999999996    -0.30228066137667464     0.21091877817779991                1.299621
                    93.0      31.558999999999997     -0.7462045371260917   -0.055313855595014616                1.407627
                    94.0                 31.6635   -0.031020073758070494     -0.1605845093309503                1.732205
                    95.0                  31.768     0.07796705764303719     -0.3387082168545579                2.185523
                    96.0                 31.8725     0.09896249578816771    -0.14080184373309745                1.978761
                    97.0      31.976999999999997    -0.03390185685203688    -0.34693512403130217                2.173249
                    98.0                 32.0815     -0.5180433657096803     0.06134347711874363                   2.023
                    99.0                  32.186    -0.27404241725433703    -0.02243550624159059                2.637323
                   100.0      32.290499999999994      -0.620769486139216     0.13712584555295304                2.238406
                   101.0      32.394999999999996                     nan                     nan                     nan
                   102.0                 32.4995     -0.5419267453288202   -0.004374770567633607                2.538822
                   103.0                  32.604    -0.10834216029048341     -0.4191312885069298                2.716092
                   104.0                 32.7085   -0.045309437727670834    -0.12444932247181367                2.545493
                   105.0                  32.813     -0.1625255901296203    -0.11360302208487877                3.039265
                   106.0                 32.9175    -0.10505682420299974    0.061755528513242924                2.843362
                   107.0                  33.022     -0.2318191065287892       0.210055527102437                2.157504
                   108.0                 33.1265                     nan                     nan                     nan
                   109.0      33.230999999999995    0.038648185312317264    -0.20575478304166464                2.859284
                   110.0      33.335499999999996       0.097670616331686     -0.2656420649098827                2.840356
                   111.0                   33.44     -0.5706457008386367    -0.03702018930326181                2.783643
                   112.0                 33.5445     -0.1995782112090615    -0.10792712002942068                2.931924
                   113.0                  33.649      -0.332177399868068      0.1933692292497815                3.116045
                   114.0                 33.7535     0.08070242188106778    -0.09995260314153087                2.951169
                   115.0                  33.858   -0.017074835984178298   -0.016668153108208295                3.068694
                   116.0                 33.9625     -0.1700048662980803    -0.04511572132045825                3.359624
                   117.0                  34.067    -0.26406553815515926  -0.0007828533916448138                3.354956
                   118.0      34.171499999999995    -0.32767287001037276     0.21966822762920582                3.267489
                   119.0      34.275999999999996     -0.3076631153297695      0.3110205991124972                3.433897
                   120.0                 34.3805   -0.058903948462194086     0.33590926449153125                3.167908
                   121.0                  34.485     -0.2582123786334877     0.10346536620281661                2.932454
                   122.0                 34.5895     -0.1844867228819076      0.0292382538448621                2.756835
                   123.0      34.693999999999996     -0.1088896888898275    0.031932498933863074                2.838215
                   124.0                 34.7985     0.15857102982266408    -0.03914031468567825                  3.6028
                   125.0                  34.903     -0.2614749221756366   -0.047826765907995186                3.069088
                   126.0                 35.0075    -0.17797169586141484      0.0089608342624223                3.730758
                   127.0      35.111999999999995      0.1549534927387004      0.2475337960174723                3.416561
                   128.0      35.216499999999996      0.2341945396321951     0.11678099033735903                3.646347
                   129.0                  35.321      0.4367330260667771    0.018300739678707614                3.402101
                   130.0                 35.4255      0.6863816190121211    -0.37131103849722075                3.248152
                   131.0                   35.53      0.5050198112505896    -0.23802516792771536                3.730035
                   132.0      35.634499999999996      0.7195895453826368    -0.30217314450144495                2.845175
                   133.0                  35.739      0.8654642168446274    -0.07145486818624544                2.897383
                   134.0                 35.8435      0.8196085711351178     0.05511533354609152                2.567633
                   135.0                  35.948      0.9368767890016547    -0.28432882614944077                2.151234
                   136.0      36.052499999999995      0.7267107013728396    -0.17520589532921557                1.917809
                   137.0                  36.157       0.884476544165832    -0.08032439860399251                2.263221
                   138.0                 36.2615      0.8117064625226984     0.31320005762033043                1.716762
                   139.0                  36.366      1.1952700940762158       0.178450849702519                2.303814
                   140.0                 36.4705      1.2374946745211193      0.5799892929657415                2.099173
                   141.0      36.574999999999996      0.8857047981030151     0.02161057103972308                2.387259
                   142.0                 36.6795      0.7862643371185445      0.1906836836129365                2.061478
                   143.0                  36.784      0.8655968228490931    -0.18544809281230784                2.256174
                   144.0                 36.8885       0.859099626495131     -0.2778735348752925                2.641294
                   145.0      36.992999999999995      1.0372626237088471     -0.3792404864612236                 2.41024
                   146.0                 37.0975        1.57502288747503    0.062269781232659915                2.008537
                   147.0                  37.202      1.0125463444398437    -0.09279629576416343                2.106462
                   148.0                 37.3065      1.2060528030903759    -0.07010032910642477                2.218607
                   149.0                  37.411       1.058908261217523    -0.33408728752867206                2.514282
                   150.0      37.515499999999996      1.2597242448811408    -0.15332079942533766                2.680065
                   151.0                   37.62      1.6101254523924053    -0.12350607164445837                2.495213
                   152.0                 37.7245      1.5066759493380475   -0.056563536386169955                2.555998
                   153.0                  37.829                     nan                     nan                     nan
                   154.0      37.933499999999995      1.0998990750406812       0.397492708700116                2.015757
                   155.0                  38.038                     nan                     nan                     nan
                   156.0                 38.1425      1.7231758669444186     -0.5819055486452727                1.325958
#-----------------------------------------------------------------------------------------------------------------------
# experiment: rvs167_raw_trajectories
# path: /Users/andreapicco/Google Drive/RESEARCH/EvoCellBio/Protein_tracking/Data/Rvs167/24_degree/Sc/rvs167_raw_trajectories
# file: 59.data.txt
# protein: Rvs167-GFP
# date: 10/10/13
# notes: N-BAR protein dynamics
# t_unit: s
# delta_t: 0.1045
# coord_unit: pxl
# intensity_normalisation: None
# l_cm: (43.98736391079916, 41.59506149572)
# r_cm: (39.7271320014257, 30.64297178822585)
# m_angle: -1.952236998177049
# m_lag: 209
# trajalign_version: 1.92
# lie_down_angle: -1.878397415746604
# lie_down_translation: (-39.7611569378551, -30.489286938784804)
