#                  frames                    t (s)                  x (pxl)                  y (pxl)                        f
                     10.0        6.270000000000007                      nan                      nan                      nan
                     11.0       6.3745000000000065                      nan                      nan                      nan
                     12.0        6.479000000000006                      nan                      nan                      nan
                     13.0        6.583500000000006                      nan                      nan                      nan
                     14.0        6.688000000000006                      nan                      nan                      nan
                     15.0        6.792500000000006                      nan                      nan                      nan
                     16.0        6.897000000000006                      nan                      nan                      nan
                     17.0        7.001500000000005                      nan                      nan                      nan
                     18.0        7.106000000000005                      nan                      nan                      nan
                     19.0        7.210500000000005                      nan                      nan                      nan
                     20.0        7.315000000000005                      nan                      nan                      nan
                     21.0        7.419500000000005                      nan                      nan                      nan
                     22.0       7.5240000000000045                      nan                      nan                      nan
                     23.0        7.628500000000004                      nan                      nan                      nan
                     24.0        7.733000000000004                      nan                      nan                      nan
                     25.0        7.837500000000004                      nan                      nan                      nan
                     26.0        7.942000000000004                      nan                      nan                      nan
                     27.0        8.046500000000004                      nan                      nan                      nan
                     28.0        8.151000000000003                      nan                      nan                      nan
                     29.0        8.255500000000003                      nan                      nan                      nan
                     30.0        8.360000000000003                      nan                      nan                      nan
                     31.0        8.464500000000003                      nan                      nan                      nan
                     32.0        8.569000000000003                      nan                      nan                      nan
                     33.0        8.673500000000002                      nan                      nan                      nan
                     34.0        8.778000000000002                      nan                      nan                      nan
                     35.0        8.882500000000002                      nan                      nan                      nan
                     36.0        8.987000000000002                      nan                      nan                      nan
                     37.0        9.091500000000002                      nan                      nan                      nan
                     38.0        9.196000000000002                      nan                      nan                      nan
                     39.0        9.300500000000001                      nan                      nan                      nan
                     40.0        9.405000000000001                      nan                      nan                      nan
                     41.0        9.509500000000001                      nan                      nan                      nan
                     42.0                    9.614                      nan                      nan                      nan
                     43.0                   9.7185                      nan                      nan                      nan
                     44.0                    9.823                      nan                      nan                      nan
                     45.0                   9.9275                      nan                      nan                      nan
                     46.0                   10.032                      nan                      nan                      nan
                     47.0                  10.1365                      nan                      nan                      nan
                     48.0                   10.241                      nan                      nan                      nan
                     49.0                  10.3455                      nan                      nan                      nan
                     50.0                    10.45                      nan                      nan                      nan
                     51.0       10.554499999999999       -3.315549032079488       1.9457320318072575                 0.776292
                     52.0       10.658999999999999                      nan                      nan                      nan
                     53.0                  10.7635      -3.1151344945479806       0.8731730713831511                  1.31012
                     54.0       10.867999999999999      -3.4571507481859083       1.2047942862842482                 1.405246
                     55.0                  10.9725                      nan                      nan                      nan
                     56.0       11.076999999999998       -2.844974273591913       1.0929497035872326                 2.091697
                     57.0                  11.1815      -2.7611872889526827       0.9917163427961033                 2.981567
                     58.0                   11.286      -2.9428972212516054       1.1823004007677131                 2.128119
                     59.0                  11.3905      -3.0070770025412537       1.2418324664013958                 2.583529
                     60.0                   11.495       -2.745701609168793       0.9243268729760362                 3.359667
                     61.0       11.599499999999999        -2.75584804178361       1.0574386946230723                 4.134626
                     62.0                   11.704       -2.920597453624062       1.1853723950316282                 4.115961
                     63.0       11.808499999999999      -2.4970094410369312       1.1192848336415944                 4.209273
                     64.0                   11.913                      nan                      nan                      nan
                     65.0       12.017499999999998      -1.9761706497872507       1.1740052010250002                 3.594993
                     66.0                   12.122      -1.9660635275113572       0.9440763966543888                  3.06196
                     67.0                  12.2265      -1.8747256183367362       0.7415984570026518                 3.616364
                     68.0                   12.331      -1.6472772615689448       0.8492075188730506                 3.883636
                     69.0                  12.4355      -1.5939135955753283       0.8348059277206163                 3.393011
                     70.0                    12.54      -1.9719815486885621       0.4285070420702079                 3.260753
                     71.0       12.644499999999999      -1.8372294989997178      0.22692563820155903                 2.993097
                     72.0       12.748999999999999      -1.5394479439506554      0.44646657372967735                 2.677549
                     73.0                  12.8535      -1.8130398100368694      0.31482590817202355                  1.78565
                     74.0       12.957999999999998      -1.4880276316992544       0.1947481865487441                  2.59525
                     75.0                  13.0625      -1.6286886298284426        1.008557965722175                 2.635508
                     76.0       13.166999999999998      -1.4881222582261513       0.4155665365467054                 2.278238
                     77.0                  13.2715      -1.7051674931220548     -0.23770577933234838                 2.886948
                     78.0                   13.376                      nan                      nan                      nan
                     79.0                  13.4805      -0.9950067283474177       1.1279422310186693                 1.930347
                     80.0       13.584999999999999      -0.8308514478041777       1.1219190150361966                 2.292758
                     81.0       13.689499999999999       -0.946869621724648       0.4576329826787759                 2.266064
                     82.0       13.793999999999999      -0.9873644448650283       0.7105801435105045                 1.662739
                     83.0                  13.8985                      nan                      nan                      nan
                     84.0                   14.003      0.24573034407952932       0.1336965083371861                  1.35353
                     85.0                  14.1075      -0.4576157473820318       -0.194471680486375                 1.294942
                     86.0                   14.212                      nan                      nan                      nan
                     87.0                  14.3165                      nan                      nan                      nan
                     88.0                   14.421       1.7047439237623268       0.9799534350439632                 1.709983
                     89.0                  14.5255                      nan                      nan                      nan
                     90.0       14.629999999999999        1.725189896501294        2.544288495642798                 1.484738
                     91.0       14.734499999999999       1.7670426676817925        2.313633280489284                 1.856924
                     92.0                   14.839                      nan                      nan                      nan
                     93.0                  14.9435                      nan                      nan                      nan
                     94.0                   15.048       1.5927706888061381       2.8419943314797655                  1.43901
                     95.0                  15.1525       1.7322716321308844       2.0662932300956682                  1.16808
                     96.0                   15.257        2.365692079246545        1.453366084257109                 1.470584
                     97.0                  15.3615        2.640416335474833       1.6676911252224909                  1.38768
                     98.0                   15.466       2.1583517992920824       1.7174303744619897                  1.57024
                     99.0                  15.5705                      nan                      nan                      nan
                    100.0       15.674999999999999        3.053021241053509      0.07149644381096798                 1.565141
                    101.0       15.779499999999999                      nan                      nan                      nan
                    102.0       15.883999999999999       3.8657371711516455      -0.5428146297997201                 1.362557
                    103.0       15.988499999999998        3.668080588923925     -0.38584612162352927                 1.442048
                    104.0                   16.093       3.3006972588819266      -0.1713555417062418                 0.999058
