#                 frames                   t (s)                 x (pxl)                 y (pxl)                       f
                    -2.0      21.041999999999994                     nan                     nan                     nan
                    -1.0      21.167999999999996                     nan                     nan                     nan
                     0.0      21.293999999999997                     nan                     nan                     nan
                     1.0      21.419999999999998                     nan                     nan                     nan
                     2.0                  21.546                     nan                     nan                     nan
                     3.0                  21.672                     nan                     nan                     nan
                     4.0      21.798000000000002      0.6271134691407608      0.9591309557913398                2.132548
                     5.0                  21.924      1.0364383219455036      1.7666685537602402                1.856842
                     6.0                   22.05      0.8072188765616958      1.4855466574679996                2.447115
                     7.0      22.176000000000002      0.4387597120537823      0.9982877260771646                2.828379
                     8.0      22.302000000000003                     nan                     nan                     nan
                     9.0                  22.428                     nan                     nan                     nan
                    10.0      22.554000000000002    -0.36053514931274716      0.3062321453720725                3.222634
                    11.0                   22.68     -0.7351200601329576   -0.029120715326634357                2.827256
                    12.0                  22.806    -0.38745730439296006   -0.004807081697175395                2.976981
                    13.0      22.932000000000002     -0.4629402608345977  -0.0013139022243683768                3.180496
                    14.0                  23.058     -0.2486077827356092      0.0636067232805281                3.123311
                    15.0                  23.184    -0.38502441145714794     0.14947436753753987                3.079888
                    16.0      23.310000000000002     -0.5242796220682081    -0.09455054199357338                3.323144
                    17.0                  23.436     -0.6785533332822816  -0.0003556279045405508                3.687857
                    18.0                  23.562     -0.3923670150841375    -0.26666465396486616                4.167091
                    19.0      23.688000000000002     -0.3949370477112509     -0.3960132741441857                4.057875
                    20.0                  23.814    -0.24808705529450092    -0.21271853248147504                3.902581
                    21.0                   23.94     -0.1953246438113487    -0.14170791660270815                3.197217
                    22.0      24.066000000000003    -0.09064213557994573    -0.08416765890966416                3.167094
                    23.0                  24.192    -0.20095342076665715    -0.03892259249956248                3.921511
                    24.0                  24.318     -0.4393812347425527    -0.08268863887889807                4.358471
                    25.0                  24.444     -0.3033153936387335    -0.20549981308429785                5.242677
                    26.0                   24.57     -0.3849218632417079    -0.22215845912591095                5.132716
                    27.0                  24.696    -0.07564294432625779    -0.20196081816237094                 4.47462
                    28.0                  24.822    -0.18204873469339727   0.0018287008476620126                5.109344
                    29.0                  24.948   -0.012063924539051828    -0.36077473743552285                4.469535
                    30.0                  25.074   -0.019135989748142134    -0.15385558326734816                4.190294
                    31.0                    25.2     0.09253348982787654    -0.08910775612062577                3.812434
                    32.0                  25.326     0.18796601290767267    -0.17624418000653247                4.635567
                    33.0                  25.452   -0.014336716973511554     -0.1021568500059332                4.623427
                    34.0                  25.578    -0.02795072309908231    -0.16175026482847746                  4.3488
                    35.0                  25.704    -0.14186620245609968     -0.3036620647214508                5.095119
                    36.0                   25.83    -0.23588393107937985     -0.2166536003830863                5.032429
                    37.0                  25.956    -0.13718639057920257      -0.459506513075554                4.681371
                    38.0                  26.082                     nan                     nan                     nan
                    39.0                  26.208      -0.170194387104161     -0.1770266966896572                4.945884
                    40.0                  26.334    -0.28125652141914875    -0.10104865340477101                5.344049
                    41.0                   26.46    -0.33013394868166523    -0.05248822177367431                5.211124
                    42.0      26.586000000000002                     nan                     nan                     nan
                    43.0                  26.712      0.0159515521352622    -0.04191577866423507                4.839254
                    44.0                  26.838     0.36185353507096124     0.12630321998381688                4.495347
                    45.0                  26.964     0.20289861451905977      0.2329273744814539                4.117891
                    46.0                   27.09      0.3000882198322945     0.27999569367873944                4.391257
                    47.0                  27.216      0.6417658297375968      0.3785393322882489                 4.44521
                    48.0      27.342000000000002                     nan                     nan                     nan
                    49.0                  27.468      0.1677419422953743      0.6466909039994121                3.624888
                    50.0                  27.594                     nan                     nan                     nan
                    51.0                   27.72                     nan                     nan                     nan
                    52.0                  27.846      0.4335055508170439      0.2714764644351277                4.791522
                    53.0                  27.972    0.050456093106790376    -0.09807012467898477                 5.40718
                    54.0                  28.098     0.08739216539890747      0.1344261516430821                5.066585
                    55.0                  28.224      0.5106586297221481     0.30304429517248704                5.717708
                    56.0                   28.35                     nan                     nan                     nan
                    57.0                  28.476      0.3767556951055646     0.19865458089915944                6.518155
                    58.0                  28.602      0.3746057492001508      0.4741233921529946                7.028232
                    59.0                  28.728                     nan                     nan                     nan
                    60.0                  28.854      0.6866092002785602      0.5289285875012733                5.456235
                    61.0                   28.98      0.5224577192452227      0.5501335046564808                5.166884
                    62.0                  29.106      0.8430780904395814      0.7288851199196359                4.724689
                    63.0                  29.232      0.7959573308670513      0.5009541371259253                4.443511
                    64.0                  29.358      0.8382710545918962      0.7506834412164536                4.113015
                    65.0                  29.484      0.7212160967724814     -0.0569561090347208                4.545424
                    66.0                   29.61      0.6618879647873677     0.26678699217388335                4.108404
                    67.0                  29.736     0.43587278269792196   -0.016345211741666546                4.753771
                    68.0      29.862000000000002      0.4439583685975647      0.3206138736509862                4.536575
                    69.0                  29.988     0.24109076293491222    -0.17017302035260806                4.474499
                    70.0                  30.114      0.2800156666580816     -0.0413410002017899                4.606164
                    71.0      30.240000000000002     0.46687171845926984      0.2635096967799799                4.281886
                    72.0                  30.366     0.36796985810665017      0.2995946652127179                4.057548
                    73.0                  30.492                     nan                     nan                     nan
                    74.0      30.618000000000002      0.7021275115018653     -0.3624172205585322                3.428026
                    75.0                  30.744      0.8310900027364267     -0.1392399098780412                3.043756
                    76.0                   30.87      0.8058854317343271     0.03541438591967337                3.317825
                    77.0      30.996000000000002      0.7905444542837439     -0.6121880903594484                3.304383
                    78.0                  31.122       0.583529028137586        -0.4389543918983                2.570959
                    79.0                  31.248                     nan                     nan                     nan
                    80.0      31.374000000000002     0.22741986321986168     0.22009088589799017                2.080277
