#                  frames                    t (s)                  x (pxl)                  y (pxl)                        f
                     30.0       29.735999999999926     -0.07364343078668867      0.23453904710221707                 2.393483
                     31.0       29.986799999999924      -0.6598366379602325      0.19307638127391158                 2.813644
                     32.0       30.237599999999926     -0.34792063951578456     -0.10282724146226485                  3.34818
                     33.0       30.488399999999928      -0.7374584210725743       0.5106618978367123                 3.730085
                     34.0       30.739199999999926      -0.6933446674232968      0.16524772527866105                 4.222854
                     35.0       30.989999999999924                      nan                      nan                      nan
                     36.0       31.240799999999926      -0.4388863337313751     -0.10059854590780049                 5.861648
                     37.0       31.491599999999927                      nan                      nan                      nan
                     38.0       31.742399999999925     -0.10382011874977337  -0.00011982527550458144                 7.324538
                     39.0       31.993199999999923     -0.10876711176776155      0.11392423485951042                 7.432292
                     40.0        32.24399999999993      -0.0734010207785758      0.10111219625730428                  7.14202
                     41.0        32.49479999999993                      nan                      nan                      nan
                     42.0       32.745599999999925   -0.0007589232108884403      0.03926556978530016                 7.628859
                     43.0        32.99639999999992       0.0287492259617963       0.2969336220024985                 7.104093
                     44.0        33.24719999999993      0.06765286211547306       0.1975795252423609                 6.267459
                     45.0        33.49799999999993       0.2830639230573837     -0.05979494591178991                 5.818988
                     46.0       33.748799999999925                      nan                      nan                      nan
                     47.0        33.99959999999993       0.6045327361656021      0.17870642857229768                   4.2675
                     48.0        34.25039999999993      0.38866916798387763      -0.0791010186355976                 4.031981
                     49.0       34.501199999999926                      nan                      nan                      nan
                     50.0       34.751999999999924       0.5720914942459885     -0.10305113457678772                 5.515674
                     51.0        35.00279999999992                      nan                      nan                      nan
                     52.0        35.25359999999993       0.6104443570408975     -0.17501015041520418                 4.117849
                     53.0       35.504399999999926       0.9368823947138551     -0.30215184284232066                  3.39808
                     54.0       35.755199999999924       1.2951371842998327      -0.1734299237931083                 3.089637
                     55.0        36.00599999999993                      nan                      nan                      nan
                     56.0        36.25679999999993       0.8928037835349869       0.1373116720739347                 2.857974
                     57.0       36.507599999999925       0.7671989106386903      -0.2171958721627334                  3.52785
                     58.0       36.758399999999924        0.607939431220494       0.6890104090141591                 3.108912
#----------------------------------------------------------------------------------------------------------------------------
# experiment: 230317_MKUM0019_DW
# path: /Users/andreapicco/Google Drive/RESEARCH/EvoCellBio/Protein_tracking/Data/Rvs167/24_degree/Um/230317_MKUM0019_DW
# file: 35.W1data.txt
# protein: Fim1-mCherry
# date: 17/03/23
# notes: the trajectory of the reference protein
# t_unit: s
# delta_t: 0.2508
# coord_unit: pxl
# intensity_normalisation: None
# aligned_to: ../../../Fimbrin/24_degree/Um/fim1_um_24deg.txt
# alignment_angle: 1.420331896942286 rad
# alignment_translation: [ 47.2822929  -66.04330212] pxl
# alignment_lag: 22.211999999999925 s
