#                  t (s)                 x (pxl)                 y (pxl)                       f                       n             x_err (pxl)             y_err (pxl)                   f_err
      -17.75019999999995     -0.8490550481689261   -0.005838317936544435               1.0825575                    10.0     0.09862586823261507     0.08849432868020696     0.11796816901907865
      -17.65019999999995     -0.7961774129369853    -0.25148985520712397      1.1336659999999998                    10.0     0.11113980972579854     0.12974501066986996     0.12854354237140447
      -17.55019999999995     -0.9463051399339726     -0.1990672618445295      1.0481245000000001                    12.0     0.11128853709627726     0.12065720764902815     0.17071270138722056
      -17.45019999999995     -0.9320541766719319    -0.16282139878126636                1.106435                    13.0     0.07764984289155812     0.08397079398955026       0.143283202964162
      -17.35019999999995     -0.8929553162528943    -0.12772944952088078               1.2372535                    14.0      0.1135591091993363     0.11751501071936647     0.12927854990407342
      -17.25019999999995     -0.7230162536635727     -0.1397013022565151                1.095042                    11.0      0.1036264107877688      0.1037058482592481     0.09616533227619727
      -17.15019999999995      -1.087146599693186    -0.22511215981245464                1.129888                    14.0     0.10234691835046704     0.12125395408456484     0.13690084985083312
      -17.05019999999995     -0.8939857357592066     -0.2534647318706075                1.019387                    17.0     0.10745896282890538     0.11293105419224488     0.07430609468174956
      -16.95019999999995       -1.00872710136652    -0.14845027522341933                 1.08707                    13.0     0.10232663627203946     0.10716997492344475     0.10137377484749918
     -16.850199999999948     -0.8699773862445472    -0.21867959053744168                1.001091                    17.0     0.08443908902029122     0.08068190472395206     0.08412667467087705
      -16.75019999999995      -0.837779040995958    -0.31117823554783564                1.096539                    17.0     0.09791941445286347     0.10551512098738951     0.13757010484421636
      -16.65019999999995     -0.9006932586649837     -0.1258301579301904                1.181879                    19.0     0.10963595972648683     0.10895059781698724     0.14472232542459115
     -16.550199999999947     -0.9015936746702222    -0.12257881188150009                 1.15209                    19.0     0.08387904218244417     0.09627028101488767     0.12456679717354253
      -16.45019999999995     -0.8396659933467967    -0.20696980013855704      1.0261135000000001                    18.0     0.09268120030470862     0.09105021657595795    0.058749200128290824
     -16.350199999999948      -0.935073427941773    -0.22688818338175148      1.1113330000000001                    18.0     0.08751731041445135     0.09443087305047383     0.08440842470757443
      -16.25019999999995     -0.9086732528696486    -0.23150707411568042                1.198958                    19.0     0.08023614059665654     0.08384263843965052     0.11892503155370823
      -16.15019999999995     -0.8932497764819755    -0.16375040329673152                1.368491                    19.0      0.1048081515040211     0.09507812113790132     0.11191117438564858
     -16.050199999999947     -0.8644878167080771    -0.10066905663494155                1.320499                    17.0     0.08107587965357584     0.08255942978245595     0.11249995593564575
