#                frames                  t (s)                x (pxl)                y (pxl)                      f
                   12.0   -0.46750000000000025    -1.6790439608500307    -0.5046922683914659                    0.0
                   13.0   -0.19500000000000028    -1.9479312873536259    -0.7114488062608899  0.0012531323983441262
                   14.0    0.07749999999999968    -1.8274088029246869    -0.6156089677120065   0.047348537291115725
                   15.0    0.34999999999999964     -2.051244343574467   -0.40455014706000725    0.08447264948981709
                   16.0     0.6224999999999996    -1.8785643751163903    -0.6784792095895398    0.07417519278959972
                   17.0     0.8949999999999996    -1.8660128967882414    -0.5209009533205347    0.11764872835010866
                   18.0     1.1674999999999995    -1.8470292191509614    -0.5893841247742841     0.0552089534674438
                   19.0     1.4399999999999995    -1.6091139561821137     -0.636427175094866      0.171698867490897
                   20.0     1.7124999999999995    -1.9019713639248437    -0.3693009349195222    0.10488896426643038
                   21.0     1.9849999999999994    -1.7950747286432645    -0.5578750689317928    0.16330992399174843
                   22.0     2.2574999999999994     -1.868933583622173    -0.6141439462016081    0.15418599177615638
                   23.0     2.5299999999999994    -1.9018435022075195    -0.4287160217357666     0.2333695607027648
                   24.0                 2.8025    -1.9373940218843373    -0.5874658841851783    0.17059024076202076
                   25.0                  3.075    -1.7447841756588645    -0.5313595921583243     0.1673304697559152
                   26.0                 3.3475    -1.7443817412885991   -0.42694356967336944    0.22974965041742235
                   27.0                   3.62     -1.910758006404123    -0.4705916538376016    0.24048425840036544
                   28.0                 3.8925    -1.8749822492932182    -0.5288268067535569    0.16553704190837476
                   29.0                  4.165     -2.087613573393753    -0.5098722882618745     0.2721483060820446
                   30.0                 4.4375    -1.7225714848318319    -0.5073197845213429    0.22466962715806668
                   31.0      4.709999999999999    -1.8391948579697797   -0.47859186759500005    0.26546054908693184
                   32.0                 4.9825    -1.7945362679908143    -0.5050533117371856     0.1861565299256531
                   33.0      5.255000000000001     -1.824654795412009    -0.3921179092675544    0.23375340929543534
                   34.0                 5.5275      -1.77688097949504    -0.4822750844547272    0.22749397748826644
                   35.0      5.800000000000001    -1.5986422376407816   -0.34249947307991135    0.23403619044981933
                   36.0                 6.0725    -1.9579208783570081   -0.48340852701929293     0.2637192125046726
