#                frames                  t (s)                x (pxl)                y (pxl)                      f
                  171.0     27.465400000000002                    nan                    nan                    nan
                  172.0                27.6197                    nan                    nan                    nan
                  173.0                 27.774                    nan                    nan                    nan
                  174.0                27.9283                    nan                    nan                    nan
                  175.0                28.0826                    nan                    nan                    nan
                  176.0                28.2369                    nan                    nan                    nan
                  177.0     28.391199999999998    -1.4860386382233222   -0.29036332886201355               1.356104
                  178.0     28.545499999999997                    nan                    nan                    nan
                  179.0     28.699799999999996    -0.9888258480038404    0.07439961225335445               1.038107
                  180.0     28.854100000000003                    nan                    nan                    nan
                  181.0                29.0084    -1.0336211313648773   -0.16478460809700596               1.162406
                  182.0                29.1627     -1.609096152943219   -0.11313830828375981               1.129558
                  183.0                 29.317                    nan                    nan                    nan
                  184.0                29.4713    -1.2284563368431596    0.05700920306832097               1.345394
                  185.0                29.6256                    nan                    nan                    nan
                  186.0     29.779899999999998    -1.3639718269426657     0.2246975527682673               1.089517
                  187.0     29.934199999999997    -1.2161741972530022     -0.596053076326292               1.131716
                  188.0     30.088499999999996    -1.4621979894832005    -0.2940201439585314               1.174165
                  189.0     30.242800000000003                    nan                    nan                    nan
                  190.0     30.397100000000002                    nan                    nan                    nan
                  191.0                30.5514                    nan                    nan                    nan
                  192.0                30.7057                    nan                    nan                    nan
                  193.0                  30.86                    nan                    nan                    nan
                  194.0                31.0143    -1.1768399426518008    0.05370712256016641               1.227964
                  195.0     31.168599999999998    -1.1543644176365782    0.04730963615615119               1.205696
                  196.0     31.322899999999997    -1.0753024401912996   -0.28377319660242434               1.364971
                  197.0     31.477199999999996    -1.3006748375454795   -0.18030522407067634               1.452933
                  198.0     31.631499999999996    -1.2639108263678978   -0.05956854608451545               1.290163
                  199.0     31.785800000000002    -1.1100191103883046   -0.06299774115860302               1.543644
                  200.0                31.9401     -1.235358911056219    -0.2528671476108549               1.815726
                  201.0                32.0944    -1.1139433404588674   -0.17041487418844448                1.83715
                  202.0                32.2487    -1.0123141578727908   -0.22722932248185937               1.887471
                  203.0                 32.403    -1.1768593795176467   -0.21503274575529963               2.025127
                  204.0                32.5573    -1.2911044907545648    -0.1649716653088718                1.81494
                  205.0                32.7116    -1.2718630718494695    -0.2538829772130414                 1.7565
                  206.0     32.865899999999996    -1.2497378806183512    -0.1892708162989617               1.739463
                  207.0     33.020199999999996    -1.0506959048529498   -0.19827039253354792               2.137875
                  208.0                33.1745     -1.092434964785196   0.049211389434287545               2.177763
                  209.0                33.3288    -1.0205567219749518  -0.022479820316360366               2.161337
                  210.0                33.4831    -1.0497562158437792   -0.24249971562995337               2.083024
                  211.0                33.6374    -1.0569484235168864   -0.29741098472644145               2.285584
                  212.0                33.7917    -1.0935537634672563    -0.1422891600623385               2.012753
                  213.0                 33.946    -1.2209874009791228   -0.24735671132102816               2.159443
                  214.0                34.1003    -1.1744815091666627   -0.19108521232084769               2.414489
                  215.0                34.2546      -1.11746658471497    -0.1797753044623101               2.761703
                  216.0                34.4089    -1.1249527224888078   -0.12015867300572286               2.814481
                  217.0                34.5632    -1.1197181401704208    -0.1244441925718785               3.077641
                  218.0                34.7175    -1.0961548110171744    0.09148844543407991               2.458725
                  219.0                34.8718    -0.9556816542371099  -0.014646210419884453                2.07024
                  220.0                35.0261    -0.9279947752127042    0.04615284495014699               2.727311
                  221.0                35.1804    -1.0142142711837303   -0.06812758979045835               2.254684
                  222.0                35.3347    -0.9332691249560154   0.021734532236433735               2.375984
                  223.0                 35.489    -0.9235652043424982     0.1888143409289328               2.125386
                  224.0     35.643299999999996    -0.8454234814400956    0.42642583501085946               2.561363
                  225.0                35.7976    -0.7066072345949591     0.4596964872712799               2.155538
                  226.0                35.9519    -0.7499129642666811    0.17678208492032382               2.405998
                  227.0                36.1062     -0.661306409467428    0.31226321972368154               2.420722
                  228.0                36.2605    -0.8213111150063322     0.5248696993954097                2.97423
                  229.0                36.4148     -0.625645662970904     0.6451161373334104                2.42587
                  230.0                36.5691    -0.4911951184021737      0.554976210834816               2.490895
                  231.0                36.7234    -0.6107002666570231     0.6057732366393785               1.873707
                  232.0                36.8777   -0.41533670438890324     0.7742066456024207               2.462939
                  233.0                 37.032     -0.517541120412742     0.6938179903504318               2.340625
