#                frames                  t (s)                x (pxl)                y (pxl)                      f
                 -255.0    -14.993999999999962                    nan                    nan                    nan
                 -254.0    -14.867999999999963                    nan                    nan                    nan
                 -253.0    -14.741999999999964                    nan                    nan                    nan
                 -252.0    -14.615999999999964                    nan                    nan                    nan
                 -251.0    -14.489999999999965                    nan                    nan                    nan
                 -250.0    -14.363999999999965                    nan                    nan                    nan
                 -249.0    -14.237999999999966                    nan                    nan                    nan
                 -248.0    -14.111999999999966                    nan                    nan                    nan
                 -247.0    -13.985999999999967                    nan                    nan                    nan
                 -246.0    -13.859999999999967                    nan                    nan                    nan
                 -245.0    -13.733999999999968                    nan                    nan                    nan
                 -244.0    -13.607999999999969                    nan                    nan                    nan
                 -243.0     -13.48199999999997                    nan                    nan                    nan
                 -242.0     -13.35599999999997                    nan                    nan                    nan
                 -241.0     -13.22999999999997                    nan                    nan                    nan
                 -240.0     -13.10399999999997                    nan                    nan                    nan
                 -239.0    -12.977999999999971                    nan                    nan                    nan
                 -238.0    -12.851999999999972                    nan                    nan                    nan
                 -237.0    -12.725999999999972                    nan                    nan                    nan
                 -236.0    -12.599999999999973                    nan                    nan                    nan
                 -235.0    -12.473999999999974                    nan                    nan                    nan
                 -234.0    -12.347999999999974                    nan                    nan                    nan
                 -233.0    -12.221999999999975                    nan                    nan                    nan
                 -232.0    -12.095999999999975                    nan                    nan                    nan
                 -231.0    -11.969999999999976                    nan                    nan                    nan
                 -230.0    -11.843999999999976                    nan                    nan                    nan
                 -229.0    -11.717999999999977                    nan                    nan                    nan
                 -228.0    -11.591999999999977                    nan                    nan                    nan
                 -227.0    -11.465999999999978                    nan                    nan                    nan
                 -226.0    -11.339999999999979                    nan                    nan                    nan
                 -225.0    -11.213999999999979                    nan                    nan                    nan
                 -224.0     -11.08799999999998                    nan                    nan                    nan
                 -223.0     -10.96199999999998                    nan                    nan                    nan
                 -222.0     -10.83599999999998                    nan                    nan                    nan
                 -221.0    -10.709999999999981                    nan                    nan                    nan
                 -220.0    -10.583999999999982                    nan                    nan                    nan
                 -219.0    -10.457999999999982                    nan                    nan                    nan
                 -218.0    -10.331999999999983                    nan                    nan                    nan
                 -217.0    -10.205999999999984                    nan                    nan                    nan
                 -216.0    -10.079999999999984                    nan                    nan                    nan
                 -215.0     -9.953999999999985                    nan                    nan                    nan
                 -214.0     -9.827999999999985                    nan                    nan                    nan
                 -213.0     -9.701999999999986                    nan                    nan                    nan
                 -212.0     -9.575999999999986                    nan                    nan                    nan
                 -211.0     -9.449999999999987                    nan                    nan                    nan
                 -210.0     -9.323999999999987                    nan                    nan                    nan
                 -209.0     -9.197999999999988                    nan                    nan                    nan
                 -208.0     -9.071999999999989                    nan                    nan                    nan
                 -207.0     -8.945999999999989                    nan                    nan                    nan
                 -206.0      -8.81999999999999                    nan                    nan                    nan
                 -205.0      -8.69399999999999                    nan                    nan                    nan
                 -204.0      -8.56799999999999                    nan                    nan                    nan
                 -203.0     -8.441999999999991                    nan                    nan                    nan
                 -202.0     -8.315999999999992                    nan                    nan                    nan
                 -201.0     -8.189999999999992                    nan                    nan                    nan
                 -200.0     -8.063999999999993                    nan                    nan                    nan
                 -199.0     -7.937999999999993                    nan                    nan                    nan
                 -198.0     -7.811999999999992                    nan                    nan                    nan
                 -197.0     -7.685999999999992                    nan                    nan                    nan
                 -196.0     -7.559999999999992                    nan                    nan                    nan
                 -195.0     -7.433999999999991                    nan                    nan                    nan
                 -194.0     -7.307999999999991                    nan                    nan                    nan
                 -193.0     -7.181999999999991                    nan                    nan                    nan
                 -192.0      -7.05599999999999                    nan                    nan                    nan
                 -191.0      -6.92999999999999                    nan                    nan                    nan
                 -190.0      -6.80399999999999                    nan                    nan                    nan
                 -189.0     -6.677999999999989                    nan                    nan                    nan
                 -188.0     -6.551999999999989                    nan                    nan                    nan
                 -187.0     -6.425999999999989                    nan                    nan                    nan
                 -186.0     -6.299999999999988                    nan                    nan                    nan
                 -185.0     -6.173999999999988                    nan                    nan                    nan
                 -184.0     -6.047999999999988                    nan                    nan                    nan
                 -183.0     -5.921999999999987                    nan                    nan                    nan
                 -182.0     -5.795999999999987                    nan                    nan                    nan
                 -181.0     -5.669999999999987                    nan                    nan                    nan
                 -180.0     -5.543999999999986                    nan                    nan                    nan
                 -179.0     -5.417999999999986                    nan                    nan                    nan
                 -178.0     -5.291999999999986                    nan                    nan                    nan
                 -177.0     -5.165999999999985                    nan                    nan                    nan
                 -176.0     -5.039999999999985                    nan                    nan                    nan
                 -175.0     -4.913999999999985                    nan                    nan                    nan
                 -174.0     -4.787999999999984                    nan                    nan                    nan
                 -173.0     -4.661999999999984                    nan                    nan                    nan
                 -172.0     -4.535999999999984                    nan                    nan                    nan
                 -171.0     -4.409999999999983                    nan                    nan                    nan
                 -170.0     -4.283999999999983                    nan                    nan                    nan
                 -169.0     -4.157999999999983                    nan                    nan                    nan
                 -168.0     -4.031999999999982                    nan                    nan                    nan
                 -167.0    -3.9059999999999824                    nan                    nan                    nan
                 -166.0    -3.7799999999999825                    nan                    nan                    nan
                 -165.0    -3.6539999999999826                    nan                    nan                    nan
                 -164.0    -3.5279999999999827                    nan                    nan                    nan
                 -163.0     -3.401999999999983                    nan                    nan                    nan
                 -162.0     -3.275999999999983                    nan                    nan                    nan
                 -161.0     -3.149999999999983                    nan                    nan                    nan
                 -160.0     -3.023999999999983                    nan                    nan                    nan
                 -159.0    -2.8979999999999833                    nan                    nan                    nan
                 -158.0    -2.7719999999999834                    nan                    nan                    nan
                 -157.0    -2.6459999999999835                    nan                    nan                    nan
                 -156.0    -2.5199999999999836                    nan                    nan                    nan
                 -155.0    -2.3939999999999837                    nan                    nan                    nan
                 -154.0     -2.267999999999984                    nan                    nan                    nan
                 -153.0     -2.141999999999984                    nan                    nan                    nan
                 -152.0     -2.015999999999984                    nan                    nan                    nan
                 -151.0    -1.8899999999999841                    nan                    nan                    nan
                 -150.0    -1.7639999999999842                    nan                    nan                    nan
                 -149.0    -1.6379999999999844                    nan                    nan                    nan
                 -148.0    -1.5119999999999845                    nan                    nan                    nan
                 -147.0    -1.3859999999999846                    nan                    nan                    nan
                 -146.0    -1.2599999999999847                    nan                    nan                    nan
                 -145.0    -1.1339999999999848                    nan                    nan                    nan
                 -144.0     -1.007999999999985                    nan                    nan                    nan
                 -143.0    -0.8819999999999849                    nan                    nan                    nan
                 -142.0    -0.7559999999999849                    nan                    nan                    nan
                 -141.0    -0.6299999999999849                    nan                    nan                    nan
                 -140.0    -0.5039999999999849                    nan                    nan                    nan
                 -139.0    -0.3779999999999849                    nan                    nan                    nan
                 -138.0    -0.2519999999999849                    nan                    nan                    nan
                 -137.0    -0.1259999999999849                    nan                    nan                    nan
