#                  frames                    t (s)                  x (pxl)                  y (pxl)                        f
                     23.0      -14.993999999999978                      nan                      nan                      nan
                     24.0      -14.867999999999979                      nan                      nan                      nan
                     25.0       -14.74199999999998                      nan                      nan                      nan
                     26.0       -14.61599999999998                      nan                      nan                      nan
                     27.0       -14.48999999999998                      nan                      nan                      nan
                     28.0      -14.363999999999981                      nan                      nan                      nan
                     29.0      -14.237999999999982                      nan                      nan                      nan
                     30.0      -14.111999999999982                      nan                      nan                      nan
                     31.0      -13.985999999999983                      nan                      nan                      nan
                     32.0      -13.859999999999983                      nan                      nan                      nan
                     33.0      -13.733999999999984                      nan                      nan                      nan
                     34.0      -13.607999999999985                      nan                      nan                      nan
                     35.0      -13.481999999999985                      nan                      nan                      nan
                     36.0      -13.355999999999986                      nan                      nan                      nan
                     37.0      -13.229999999999986                      nan                      nan                      nan
                     38.0      -13.103999999999987                      nan                      nan                      nan
                     39.0      -12.977999999999987                      nan                      nan                      nan
                     40.0      -12.851999999999988                      nan                      nan                      nan
                     41.0      -12.725999999999988                      nan                      nan                      nan
                     42.0      -12.599999999999989                      nan                      nan                      nan
                     43.0       -12.47399999999999                      nan                      nan                      nan
                     44.0       -12.34799999999999                      nan                      nan                      nan
                     45.0       -12.22199999999999                      nan                      nan                      nan
                     46.0      -12.095999999999991                      nan                      nan                      nan
                     47.0      -11.969999999999992                      nan                      nan                      nan
                     48.0      -11.843999999999992                      nan                      nan                      nan
                     49.0      -11.717999999999993                      nan                      nan                      nan
                     50.0      -11.591999999999993                      nan                      nan                      nan
                     51.0      -11.465999999999994                      nan                      nan                      nan
                     52.0      -11.339999999999995                      nan                      nan                      nan
                     53.0      -11.213999999999995                      nan                      nan                      nan
                     54.0      -11.087999999999996                      nan                      nan                      nan
                     55.0      -10.961999999999996                      nan                      nan                      nan
                     56.0      -10.835999999999997                      nan                      nan                      nan
                     57.0      -10.709999999999997                      nan                      nan                      nan
                     58.0      -10.583999999999998                      nan                      nan                      nan
                     59.0      -10.457999999999998                      nan                      nan                      nan
                     60.0      -10.331999999999999                      nan                      nan                      nan
                     61.0                  -10.206                      nan                      nan                      nan
                     62.0                   -10.08                      nan                      nan                      nan
                     63.0                   -9.954                      nan                      nan                      nan
                     64.0       -9.828000000000001                      nan                      nan                      nan
                     65.0       -9.702000000000002                      nan                      nan                      nan
                     66.0       -9.576000000000002                      nan                      nan                      nan
                     67.0       -9.450000000000003                      nan                      nan                      nan
                     68.0       -9.324000000000003                      nan                      nan                      nan
                     69.0       -9.198000000000004                      nan                      nan                      nan
                     70.0       -9.072000000000005                      nan                      nan                      nan
                     71.0       -8.946000000000005                      nan                      nan                      nan
                     72.0       -8.820000000000006                      nan                      nan                      nan
                     73.0       -8.694000000000006                      nan                      nan                      nan
                     74.0       -8.568000000000007                      nan                      nan                      nan
                     75.0       -8.442000000000007                      nan                      nan                      nan
                     76.0       -8.316000000000008                      nan                      nan                      nan
                     77.0       -8.190000000000008                      nan                      nan                      nan
                     78.0       -8.064000000000009                      nan                      nan                      nan
                     79.0      -7.9380000000000095                      nan                      nan                      nan
                     80.0       -7.812000000000009                      nan                      nan                      nan
                     81.0       -7.686000000000009                      nan                      nan                      nan
                     82.0      -7.5600000000000085                      nan                      nan                      nan
                     83.0       -7.434000000000008                      nan                      nan                      nan
                     84.0       -7.308000000000008                      nan                      nan                      nan
                     85.0      -7.1820000000000075                      nan                      nan                      nan
                     86.0       -7.056000000000007                      nan                      nan                      nan
                     87.0       -6.930000000000007                      nan                      nan                      nan
                     88.0      -6.8040000000000065                      nan                      nan                      nan
                     89.0       -6.678000000000006                      nan                      nan                      nan
                     90.0       -6.552000000000006                      nan                      nan                      nan
                     91.0      -6.4260000000000055                      nan                      nan                      nan
                     92.0       -6.300000000000005                      nan                      nan                      nan
                     93.0       -6.174000000000005                      nan                      nan                      nan
                     94.0      -6.0480000000000045                      nan                      nan                      nan
                     95.0       -5.922000000000004                      nan                      nan                      nan
                     96.0       -5.796000000000004                      nan                      nan                      nan
                     97.0      -5.6700000000000035                      nan                      nan                      nan
                     98.0       -5.544000000000003                      nan                      nan                      nan
                     99.0       -5.418000000000003                      nan                      nan                      nan
                    100.0      -5.2920000000000025                      nan                      nan                      nan
                    101.0       -5.166000000000002                      nan                      nan                      nan
                    102.0       -5.040000000000002                      nan                      nan                      nan
                    103.0      -4.9140000000000015                      nan                      nan                      nan
                    104.0       -4.788000000000001                      nan                      nan                      nan
                    105.0       -4.662000000000001                      nan                      nan                      nan
                    106.0      -4.5360000000000005                      nan                      nan                      nan
                    107.0                    -4.41                      nan                      nan                      nan
                    108.0                   -4.284                      nan                      nan                      nan
                    109.0      -4.1579999999999995                      nan                      nan                      nan
                    110.0       -4.031999999999999                      nan                      nan                      nan
                    111.0      -3.9059999999999993                      nan                      nan                      nan
                    112.0      -3.7799999999999994                      nan                      nan                      nan
                    113.0      -3.6539999999999995                      nan                      nan                      nan
                    114.0      -3.5279999999999996                      nan                      nan                      nan
                    115.0      -3.4019999999999997                      nan                      nan                      nan
                    116.0                   -3.276                      nan                      nan                      nan
                    117.0                    -3.15                      nan                      nan                      nan
                    118.0                   -3.024                      nan                      nan                      nan
                    119.0                   -2.898                      nan                      nan                      nan
                    120.0      -2.7720000000000002                      nan                      nan                      nan
                    121.0      -2.6460000000000004                      nan                      nan                      nan
                    122.0      -2.5200000000000005                      nan                      nan                      nan
                    123.0      -2.3940000000000006                      nan                      nan                      nan
                    124.0      -2.2680000000000007                      nan                      nan                      nan
                    125.0       -2.142000000000001                      nan                      nan                      nan
                    126.0       -2.016000000000001                      nan                      nan                      nan
                    127.0       -1.890000000000001                      nan                      nan                      nan
                    128.0      -1.7640000000000011                      nan                      nan                      nan
                    129.0      -1.6380000000000012                      nan                      nan                      nan
                    130.0      -1.5120000000000013                      nan                      nan                      nan
                    131.0      -1.3860000000000015                      nan                      nan                      nan
                    132.0      -1.2600000000000016                      nan                      nan                      nan
                    133.0      -1.1340000000000017                      nan                      nan                      nan
                    134.0      -1.0080000000000018                      nan                      nan                      nan
                    135.0      -0.8820000000000018                      nan                      nan                      nan
                    136.0      -0.7560000000000018                      nan                      nan                      nan
                    137.0      -0.6300000000000018                      nan                      nan                      nan
                    138.0      -0.5040000000000018                      nan                      nan                      nan
                    139.0      -0.3780000000000018                      nan                      nan                      nan
                    140.0      -0.2520000000000018                      nan                      nan                      nan
                    141.0     -0.12600000000000178                      nan                      nan                      nan
                    142.0  -1.7763568394002505e-15                      nan                      nan                      nan
                    143.0      0.12599999999999822                      nan                      nan                      nan
                    144.0       0.2519999999999982                      nan                      nan                      nan
                    145.0       0.3779999999999982                      nan                      nan                      nan
                    146.0       0.5039999999999982                      nan                      nan                      nan
                    147.0       0.6299999999999982                      nan                      nan                      nan
                    148.0       0.7559999999999982                      nan                      nan                      nan
                    149.0       0.8819999999999982                      nan                      nan                      nan
                    150.0       1.0079999999999982                      nan                      nan                      nan
