#                   t (s)                  x (pxl)                  y (pxl)                        f                        n              x_err (pxl)              y_err (pxl)                    f_err
                  -1.9152       2.0270348025892164      0.06475163142605511                 0.684102                      1.0                      0.0                      0.0                      0.0
                  -1.8144                      nan                      nan                      nan                      nan                      nan                      nan                      nan
                  -1.7136        2.059644528101815     0.011272507059691739                 0.680354                      1.0                      0.0                      0.0                      0.0
                  -1.6128        2.151397763775162      0.29088216537726486                 0.846934                      1.0                      0.0                      0.0                      0.0
                   -1.512       2.0311319217411183      0.31661052834188197                 0.849601                      1.0                      0.0                      0.0                      0.0
                  -1.4112        2.061678203483355      0.08521942318499398                 0.820147                      1.0                      0.0                      0.0                      0.0
                  -1.3104       2.1777126935459368       0.2791975987974037                 0.822232                      1.0                      0.0                      0.0                      0.0
                  -1.2096       2.2059651603467967      0.11587091934891713                 0.692169                      1.0                      0.0                      0.0                      0.0
                  -1.1088       2.2539982084035977       0.2153736943422372                 0.806672                      1.0                      0.0                      0.0                      0.0
                   -1.008        2.090907929463028       0.2637640752363871                 0.744235                      1.0                      0.0                      0.0                      0.0
                  -0.9072       2.1963305627123493      0.12598906554385325                 0.799427                      1.0                      0.0                      0.0                      0.0
                  -0.8064       2.0239546403727466      0.14305193853094422                 0.926783                      1.0                      0.0                      0.0                      0.0
                  -0.7056        2.004285947206228      0.23566787017405222                 0.911002                      1.0                      0.0                      0.0                      0.0
                  -0.6048       1.8366132727303093      0.29976295890240995                 1.077601                      1.0                      0.0                      0.0                      0.0
                   -0.504        2.007185442030886      0.36203050156388294                  0.87348                      1.0                      0.0                      0.0                      0.0
                  -0.4032        2.056196412086252       0.5725875844635826                 1.054563                      1.0                      0.0                      0.0                      0.0
                  -0.3024        2.083401870583219      0.16351743987593192                 0.949727                      1.0                      0.0                      0.0                      0.0
                  -0.2016       1.8730926225967288      0.38638863499399256                 1.059247                      1.0                      0.0                      0.0                      0.0
                  -0.1008       2.0158048138491216      0.31879351108745635                 1.039615                      1.0                      0.0                      0.0                      0.0
                      0.0       1.9644284045508935       0.4359748965572546                 1.157509                      1.0                      0.0                      0.0                      0.0
                   0.1008         1.89147714995831      0.23288570132922393                 1.287634                      1.0                      0.0                      0.0                      0.0
                   0.2016        1.881388548317474       0.5076254959457529                 1.203329                      1.0                      0.0                      0.0                      0.0
                   0.3024       1.8291416816469404       0.2110606729810064                 1.328971                      1.0                      0.0                      0.0                      0.0
                   0.4032     -0.04579937036888633     -0.23650119181694806                1.0909045                      4.0       0.6136962621069809       0.3301068752634771      0.19659164804999996
                    0.504      0.45625321111556644      0.08370186031827548                 0.939264                      2.0       1.2888286453876574       0.6297532803568073      0.26473937371364775
                   0.6048     -0.26699560119377724     -0.01267605570896882                 1.123399                      5.0       0.1492702320367461        0.175446155751363       0.0642066957018589
                   0.7056     -0.03851055928030836     -0.12432039771450246       0.9678855000000001                      4.0       0.3151654598958053       0.2526400202136065      0.10759005810000005
                   0.8064      -0.5035733223787275      -0.2006950986062867                 0.665413                      3.0      0.09506951874478245      0.18165988105023795      0.17293268424407285
                   0.9072      -0.2496020424528668     -0.20936164403229773                 1.015099                      4.0      0.09161187545694204       0.1077568036227092      0.07273302014999997
                    1.008      -0.5458952912752857     -0.36222437764026516                 1.069952                      5.0      0.10437134781486586       0.2149061142680633      0.15978374977646836
                   1.1088      -0.3659552191138751     -0.16690944405430186                 1.043209                      4.0      0.19929730080259608      0.19700428981285578      0.03697863855000002
                   1.2096      -0.6070688384465952      -0.2246599961185123                 1.030165                      6.0      0.29554632279579124       0.3143004877560624      0.07323209134820952
                   1.3104      -0.7987127778556979     -0.35107005377293854                1.0030845                      6.0      0.13769487403714523      0.15352803335724946      0.11546291411640944
                   1.4112     -0.45816783434735464      -0.2515831184873105                1.0830185                      6.0      0.20119424573227723       0.1383550710013056      0.09440379274144566
                    1.512      -0.3331299403673616     -0.21161728470355845       1.1278299999999999                      8.0      0.15645529267494274      0.14520106160644708       0.1657456890080093
                   1.6128      -0.5007492248831938    -0.030371577355787938                1.1100585                      6.0      0.10103845362431882      0.13122108830282467       0.1639131776252308
                   1.7136      -0.4428944736626715     -0.20802394059414617                 1.176727                      9.0      0.10691641011504184      0.10323123207194729      0.18646610779999995
                   1.8144     -0.25136273751660415     0.018109651581902073                 1.051452                     11.0      0.15201700565074255      0.09041130015321934       0.1056900027459657
       1.9152000000000005     -0.43921584729937657     -0.04423403379136437                1.1084565                     10.0       0.1634768001486827      0.10286635366503864      0.10807378472951759
                    2.016      -0.4315015107017428    -0.013865989460083022                 1.018994                     10.0       0.1493163123380766       0.1052500747586407       0.1063667408895682
                   2.1168      -0.5638970320573347      0.10442882558188288                 1.135092                     11.0       0.1247574366445045      0.10038816596208737      0.22588806294236236
                   2.2176      -0.5271013948133338       -0.132308721497196                1.0033705                     14.0      0.12077258012294162      0.09903893035920847        0.132339515624902
                   2.3184      -0.5907110647630524     -0.15424600506276914                 1.007023                     13.0      0.10763354377408722      0.07261197552179251       0.0903297852443072
                   2.4192      -0.5567736400970066     0.034060527012427594                 0.937544                     11.0       0.1335222280224538      0.06849166119672634      0.09597579549114153
                     2.52     -0.41784140027740335      0.06516137440260988                 1.033398                     16.0      0.10104120582245542      0.07297299810241885      0.09038559705000002
                   2.6208      -0.5462414137893139     -0.07883464924631381                 1.052046                     16.0      0.16478141242217634       0.0976309397009984      0.09412471424999999
                   2.7216      -0.4137189373001783     -0.07360687880303894                 1.057069                     21.0      0.06082936707201621      0.05118766699414696      0.07970578297311019
                   2.8224     -0.48538606752057656     0.041006115958421546                 1.000987                     23.0      0.07435158191598296       0.0793938341051937      0.09133983887270017
                   2.9232       -0.624858521551278     -0.11178962757271155                  1.08232                     17.0      0.08249515775597202      0.06406287294172561      0.09541075876295765
                    3.024      -0.5260666205403683     0.006904207687705527                   0.9204                     25.0       0.0819281984275723       0.0629634897456447      0.07949523287999997
                   3.1248      -0.5098019952247032     0.013094881207323328                 1.171643                     27.0      0.08752552453604173     0.052845071106605614      0.06464128991524846
                   3.2256      -0.6422381067722721     -0.07461585415769192                 0.985168                     27.0     0.059330583920293896     0.060841943650847254      0.09496151076010471
                   3.3264      -0.6304688811966469     -0.22548860447485722                 1.157305                     27.0      0.08834043736984333      0.06380510575259332      0.08794390541799545
                   3.4272      -0.5452114183060951  -0.00024054408134216443                 1.231658                     29.0      0.07004085522337301      0.05301272313401286      0.06203520637983254
                    3.528      -0.5665079413371952     0.003542263241331417                 1.137282                     27.0      0.06575130356725778      0.07130582903321629      0.06793738167829155
                   3.6288      -0.6621996443448046    -0.016209455643417137                 1.150657                     33.0      0.05932166529086861      0.06626442676285485      0.07238993970247881
                   3.7296      -0.5189567924674093     -0.03780842201994203                1.3017665                     34.0      0.06563999977911918      0.05885702744464941      0.08468802603851718
                   3.8304      -0.6370829775951057     0.014683503996307079                 1.233903                     36.0      0.07177685850850446      0.04643264654701898      0.08183791384999999
                   3.9312      -0.4857779583222031      0.04040742203318562                1.1598575                     36.0      0.06625370723463862      0.04835471065049419               0.08779463
                    4.032      -0.6336646174383272     -0.06569107717733869                 1.261833                     40.0      0.06366290301423375      0.05052221331857249      0.09519207372004505
                   4.1328      -0.5741315041798053     -0.08776375761769906                 1.291908                     39.0      0.06233846605592039     0.057665196890056725      0.07015822136570188
                   4.2336      -0.6061341450071538     -0.04825059710670998                1.3469195                     40.0     0.058790486089339664      0.04644506939225109      0.08109888199581582
       4.3344000000000005      -0.5265440362502931      -0.0915033583888635                 1.321011                     44.0     0.053079566644916316      0.04588149397555401      0.07954174927086968
                   4.4352      -0.5630490073147912     -0.02503960409917444                 1.415906                     44.0      0.05452205812177908      0.04585439477792618      0.07428735597902776
                    4.536      -0.4804947134903151     0.008423514529747878                 1.517999                     41.0       0.0564337063728867       0.0472155344693876      0.08776715193414884
                   4.6368      -0.5011653961787673     -0.04591617817954996                 1.611228                     44.0      0.05116989806363751      0.04524064623180021      0.07833825773887393
       4.7376000000000005      -0.4952185021078419     -0.04782393697728313                1.5600405                     42.0      0.04775261391866901      0.04193864163193595     0.060149047653729734
                   4.8384     -0.45917581966937865      0.06701658474138189                 1.575823                     47.0      0.05288943116182166      0.04472121739839644      0.08189593474664783
                   4.9392     -0.46962448803382983    -0.002283900624135471                 1.624872                     45.0      0.04723512908938214      0.04450278133836435      0.07974456975112997
                     5.04      -0.4987833365088193     -0.03481389588016695                 1.642432                     47.0      0.05986965370862227     0.041941255185377245      0.09512214561711607
       5.1408000000000005     -0.42232554846703857     0.033293637774217094                1.6259905                     48.0      0.05326579505715086     0.037444167136696384      0.07578082891761848
                   5.2416      -0.4082864816713885      0.06881863040110953                1.7452795                     46.0      0.04267753541290375      0.03834710889973782      0.11674109068269675
                   5.3424      -0.4646848795886081    0.0028338099595401345       1.8057059999999998                     48.0      0.03739351178930631      0.03062810765331781      0.09291967863858398
                   5.4432     -0.46865512100834766   -0.0072184060418375995       1.7368190000000001                     48.0         0.04248741164347      0.04127867711355578        0.106903387889005
       5.5440000000000005      -0.4188074957795609       0.0411609280674384                 1.822128                     46.0     0.038095165825449404      0.03901319875603567      0.07968412404655162
                   5.6448     -0.42717039055299955      0.06596763860473567                 1.879745                     45.0      0.04516480634708259      0.04746349336719123      0.10094324871660626
                   5.7456      -0.3945323386595124     0.020729680818262514                 1.898763                     48.0     0.030704474890493275     0.029294085714321776      0.09711900711279263
                   5.8464      -0.3625790447612351     -0.02317159314887264                 1.897565                     47.0     0.031943158820078504     0.028804336665017624       0.0974378516620314
       5.9472000000000005      -0.3278316524421605     0.025037683193951277       1.9387115000000001                     46.0     0.044544524014745325      0.03953730129923063      0.11762039890197216
                    6.048     -0.22936960091395298     -0.02345334433894107                1.8817975                     48.0      0.03572206036657459       0.0399430044423496      0.08709259813038209
                   6.1488     -0.25423299334240707    -0.020003546832374777                 1.974451                     48.0     0.033478942986426584      0.03706975662699323      0.10883693860262443
                   6.2496     -0.21349115953814138     0.019939651859128313       1.9656405000000001                     48.0      0.03222163665445134      0.03494759774101284      0.10953862780520966
       6.3504000000000005     -0.14982181825795626      -0.0216353334851273                 1.972149                     47.0      0.03670373334167121      0.03676053828205181      0.09460182541315026
                   6.4512     -0.07833807723040256     -0.06960197397700613                 2.009645                     49.0      0.03786336258969111      0.03871900788038422              0.099389268
                    6.552     -0.04345668596142803     -0.02261664149159121                 1.891575                     47.0      0.04107846605803669      0.03779975999516716      0.07095104467070809
                   6.6528      0.04345668596142803      0.02261664149159121                 1.948445                     48.0      0.03931315235494333     0.035960962331444246      0.10292468813326702
       6.7536000000000005       0.0379488044608313      0.06342827060868644       2.0463889999999996                     48.0     0.048508188350511024       0.0370220303885484      0.11833873914339496
                   6.8544      0.13708823056716027      0.04577609798458006                 2.069724                     45.0      0.04966254849991777     0.042256677494195295      0.15323314668774748
                   6.9552      0.18254070301611539     -0.03216955658325733                 2.020902                     47.0      0.05409596420066188      0.05168070073924012      0.11290105014256721
                    7.056      0.30088171907084227    0.0054326081280899885                 2.019377                     47.0      0.05321348020836218      0.04958500539897404       0.1400727507689528
