 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
1,cell_0,426,358.410766602,331.280883789,8.043673833,1,1,YES,2,0,1574.430419922,5543.827636719,40.305417732,22.707517943
2,cell_2,535,322.201019287,127.849098206,8.064156850,1,1,YES,2,0,1985.597778320,7946.303710938,50.831301841,32.548059918
3,cell_3,516,45.246719360,160.435073853,8.832785924,1,1,YES,2,0,1903.928100586,7318.364746094,48.740558144,29.976021924
4,cell_5,380,35.090106964,272.416168213,9.094167074,1,1,YES,2,0,1415.815673828,4627.960937500,36.244880334,18.956127952
5,cell_6,676,175.138137817,237.928436279,8.288231532,1,1,YES,2,0,2523.559082031,10656.796875000,64.603110868,43.650239890
6,cell_7,510,143.495437622,217.744491577,7.359975179,1,1,YES,2,0,1901.045776367,7234.051757812,48.666770646,29.630675925
7,cell_8,398,203.366638184,82.041320801,9.235894521,1,1,YES,2,0,1493.952514648,5065.765136719,38.245183409,20.749373948
8,cell_9,499,186.253646851,365.373962402,7.883405050,1,1,YES,2,0,1860.344482422,6992.376953125,47.624817547,28.640775928
9,cell_10,387,168.988403320,404.489410400,7.220917384,1,1,YES,2,0,1417.949218750,4356.811035156,36.299499083,17.845497955
10,cell_11,408,192.461608887,473.870300293,6.732980092,1,1,YES,2,0,1534.820190430,5301.100097656,39.291395882,21.713305945
11,cell_12,348,438.668762207,444.684936523,7.228555679,1,1,YES,2,0,1293.347900391,4204.123535156,33.109705414,17.220089957
12,cell_13,516,184.361190796,35.756435394,9.133864721,1,1,YES,2,0,1938.336791992,7645.973144531,49.621420621,31.317905921
13,cell_14,717,55.542308807,44.044593811,8.788656871,1,1,YES,2,0,2681.877929688,11777.839843750,68.656073266,48.242031878
14,cell_15,380,165.215805054,117.506401062,7.990397771,1,1,YES,2,0,1417.948242188,4724.053222656,36.299474083,19.349721951
15,cell_16,291,198.263687134,183.953704834,7.873484294,1,1,YES,2,0,1090.133300781,3258.594482422,27.907411795,13.347202966
16,cell_17,386,195.160736084,466.447448730,8.354745229,1,1,YES,2,0,1441.110351562,4698.349121094,36.892424068,19.244437951
17,cell_18,420,229.332992554,451.713775635,8.799464544,1,1,YES,2,0,1566.358520508,5346.080566406,40.098777112,21.897545945
18,cell_19,507,392.764892578,439.432525635,8.931193034,1,1,YES,2,0,1899.958251953,7216.241699219,48.638930021,29.557725925
19,cell_20,439,431.319976807,284.990722656,9.710917791,1,1,YES,3,4,1643.585937500,5814.679687500,42.075798937,23.816927940
20,cell_21,455,438.629455566,209.651550293,9.733933767,1,1,YES,2,0,1704.952514648,6333.282226562,43.646783272,25.941123935
21,cell_22,457,468.018402100,120.799552917,8.648336411,1,1,YES,2,0,1693.074340820,6313.739257812,43.342702030,25.861075935
