 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
1,cell_0,444,374.985198975,187.898117065,16.362342834,1,1,YES,2,0,1661.380493164,5309.790039062,42.531339551,21.748899945
2,cell_1,436,384.910217285,350.716217041,15.883351644,1,1,YES,2,0,1623.248413086,5808.743652344,41.555158325,23.792613940
3,cell_2,379,409.969207764,360.488098145,15.072778066,1,1,YES,2,0,1404.831909180,4684.708984375,35.963695966,19.188567952
4,cell_3,342,247.631927490,338.009735107,15.942975362,1,1,YES,2,0,1275.489257812,3965.922851562,32.652524175,16.244419959
5,cell_4,405,156.947052002,243.195434570,15.616840363,1,1,YES,2,0,1512.064819336,5199.342285156,38.708858397,21.296505946
6,cell_5,475,140.373886108,319.365539551,15.466678619,1,1,YES,2,0,1745.350097656,6293.733398438,44.680961371,25.779131935
7,cell_6,350,89.405845642,198.796966553,15.475788116,1,1,YES,2,0,1306.426025391,4111.196777344,33.444505405,16.839461957
8,cell_8,312,259.445709229,414.923217773,15.822422028,1,1,YES,2,0,1165.505371094,3424.023925781,29.836936746,14.024801965
9,cell_9,544,317.007537842,181.691558838,15.538752238,1,1,YES,2,0,2032.534667969,7871.788085938,52.032886186,32.242843919
10,cell_10,266,259.190582275,224.453948975,14.928408305,1,1,YES,2,0,988.502136230,2763.904785156,25.305654048,11.320953971
11,cell_12,306,135.326644897,366.538269043,15.424963633,1,1,YES,2,0,1142.412353516,3438.739257812,29.245755511,14.085075964
12,cell_13,342,142.022308350,196.021636963,8.819464366,1,1,YES,2,0,1271.412231445,3879.861816406,32.548152303,15.891913960
13,cell_14,458,159.772048950,216.330978394,9.281866709,1,1,YES,2,0,1732.211791992,6316.958496094,44.344620755,25.874261935
14,cell_15,213,99.625671387,34.710445404,8.433848063,1,1,YES,2,0,755.405883789,1786.093627930,19.338390136,7.315839482
15,cell_16,490,251.685958862,80.501968384,9.722723643,1,1,YES,2,0,1824.531372070,6520.944824219,46.708001945,26.709789933
16,cell_18,405,306.113708496,104.223014832,8.853626251,1,1,YES,2,0,1518.969482422,5016.180664062,38.885617768,20.546275948
17,cell_19,251,38.741821289,82.210380554,8.685040792,1,1,YES,2,0,929.496337891,2444.937744141,23.795105649,10.014464975
18,cell_20,351,99.746505737,34.669021606,8.407270432,1,1,YES,2,0,1277.953979492,4004.377441406,32.715621049,16.401929959
19,cell_21,312,48.800231934,394.829132080,10.076935450,1,1,YES,2,0,1162.999877930,3503.439453125,29.772796123,14.350087964
20,cell_22,418,264.853454590,479.715911865,10.120822906,1,1,YES,2,0,1569.142089844,5485.414550781,40.170036485,22.468257943
21,cell_23,291,345.186950684,107.580520630,9.083072662,1,1,YES,2,0,1076.378540039,3113.869140625,27.555289929,12.754407968
22,cell_24,346,70.735572815,166.517730713,10.487485250,1,1,YES,2,0,1291.633422852,4139.565917969,33.065814790,16.955661957
23,cell_25,471,198.234695435,482.094482422,11.149447123,1,1,YES,2,0,1745.905151367,6243.370605469,44.695170746,25.572845935
24,cell_26,404,488.503143311,291.651916504,9.241410573,1,1,YES,2,0,1496.504150391,4905.140136719,38.310505282,20.091453949
25,cell_27,382,416.445098877,419.817535400,9.315352758,1,1,YES,2,0,1424.197753906,4722.544921875,36.459461579,19.343543951
26,cell_28,328,226.612808228,156.071533203,10.834619522,1,1,YES,2,0,1230.518676758,3842.030029297,31.501277329,15.736954960
27,cell_29,351,327.651947021,363.798217773,10.324853897,1,1,YES,2,0,1331.730834961,4338.135253906,34.092308514,17.769001955
28,cell_30,379,263.569763184,415.504333496,10.520513535,1,1,YES,2,0,1400.430908203,4570.522460938,35.851030344,18.720859953
29,cell_31,309,350.488311768,413.160339355,10.858884176,1,1,YES,2,0,1160.323120117,3492.174804688,29.704271125,14.303947964
30,cell_32,475,172.293411255,336.568847656,11.081254959,1,1,YES,2,0,1769.840087891,6463.007812500,45.307905105,26.472479933
31,cell_33,395,124.220329285,313.462158203,10.536513646,1,1,YES,2,0,1447.978881836,4860.934570312,37.068258439,19.910387950
32,cell_34,363,150.260681152,389.619781494,11.297231674,1,1,YES,2,0,1341.764526367,4382.990234375,34.349171007,17.952727955
33,cell_35,377,37.677947998,145.350387573,10.327314377,1,1,YES,2,0,1390.311035156,4604.798339844,35.591961601,18.861253952
34,cell_36,330,32.123950958,196.949417114,10.717346191,1,1,YES,2,0,1218.894287109,3689.253417969,31.203692962,15.111181962
35,cell_37,293,94.070129395,80.955528259,10.166899999,1,1,YES,2,0,1080.351440430,3131.844482422,27.656996176,12.828034968
36,cell_38,422,263.688873291,58.940536499,9.719921748,1,1,YES,2,0,1576.767944336,5553.660156250,40.365258355,22.747791943
