 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
1,cell_0,682,210.343292236,91.338981628,12.458878835,1,1,YES,2,0,2549.796875000,11285.309570312,65.274798351,46.224627883
2,cell_1,758,356.339202881,66.545433044,13.099830627,1,1,YES,2,0,2820.905273438,12854.660156250,72.215173176,52.652687867
3,cell_2,953,376.929107666,27.837247849,13.699022929,1,1,YES,2,0,3594.542236328,18410.072265625,92.020278925,75.407655810
4,cell_4,834,390.905212402,236.480514526,13.340503693,1,1,YES,2,0,3094.425781250,15186.323242188,79.217297999,62.203179843
5,cell_5,718,379.746459961,307.717681885,12.971497854,1,1,YES,2,0,2668.506347656,12017.239257812,68.313760774,49.222611876
6,cell_6,1246,334.254547119,431.795501709,14.330773671,1,1,YES,2,0,4637.147460938,27306.271484375,118.710972001,111.846487718
7,cell_7,609,150.421875000,325.001922607,13.426394145,1,1,YES,2,0,2265.969726562,9434.643554688,58.008823535,38.644299902
8,cell_8,763,147.856002808,105.351478577,12.530068715,1,1,YES,2,0,2871.162353516,13414.368164062,73.501754393,54.945251861
9,cell_9,679,146.068817139,173.177230835,13.504109701,1,1,YES,1,0,2591.217285156,11664.104492188,66.335160824,47.776171879
10,cell_10,735,87.664695740,271.693847656,12.502091726,1,1,YES,2,0,2725.184814453,12589.574218750,69.764729488,51.566895870
11,cell_11,853,31.844249725,296.988891602,13.246810913,1,1,YES,2,0,3198.258789062,15356.315429688,81.875422932,62.899467841
12,cell_12,798,84.212112427,490.855346680,13.236513774,1,1,YES,2,0,2947.273193359,13970.925781250,75.450191844,57.224911856
13,cell_13,701,325.017608643,410.594024658,12.913906097,1,1,YES,2,0,2624.310302734,11560.903320312,67.182342053,47.353459880
14,cell_14,824,488.672515869,305.283477783,13.444098155,1,1,YES,2,0,3063.526611328,14920.651367188,78.426279269,61.114987846
15,cell_15,1183,348.137084961,238.765823364,14.736565908,1,1,YES,2,0,4410.607910156,25031.439453125,112.911559648,102.528775741
