 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
1,cell_0,623,256.264678955,166.161727905,7.775715510,1,1,YES,2,0,2341.463134766,10085.080078125,59.941454736,41.308487896
2,cell_1,756,344.762115479,238.220245361,8.396997452,1,1,YES,2,0,2849.659667969,13007.473632812,72.951285657,53.278611865
3,cell_3,802,362.890197754,403.680450439,8.677652359,1,1,YES,2,0,2989.930175781,14707.573242188,76.542210566,60.242219848
4,cell_4,811,296.242065430,291.726623535,8.916593552,1,1,YES,2,0,3018.580566406,14813.159179688,77.275660548,60.674699847
5,cell_5,798,284.324859619,229.793685913,8.830863953,1,1,YES,2,0,3005.630371094,14607.345703125,76.944135556,59.831687849
6,cell_6,587,39.003112793,184.847946167,8.880643209,1,1,YES,2,0,2180.136230469,9069.679687500,55.811486090,37.149407906
7,cell_7,669,269.293731689,160.504562378,7.447473526,1,1,YES,1,0,2525.199218750,11361.495117188,64.645098367,46.536683883
8,cell_8,807,245.454345703,298.152130127,8.423744837,1,1,YES,2,0,3028.196777344,14960.972656250,77.521835542,61.280143845
9,cell_9,727,206.106781006,69.080589294,8.597669601,1,1,YES,2,0,2734.935058594,12891.351562500,70.014335731,52.802975867
10,cell_10,610,232.951736450,434.420532227,8.350138982,1,1,YES,2,0,2250.956787109,9640.969726562,57.624492294,39.489411900
11,cell_11,600,251.606689453,200.527740479,9.240330378,1,1,YES,2,0,2251.930908203,9611.355468750,57.649429794,39.368111901
12,cell_12,617,224.536056519,238.486526489,9.303377787,1,1,YES,2,0,2309.531982422,9937.572265625,59.124017256,40.704295897
13,cell_13,643,95.165100098,299.028747559,8.151002248,1,1,YES,2,0,2401.492675781,10448.655273438,61.478210947,42.797691892
14,cell_14,669,426.632659912,403.740142822,7.364750544,1,1,YES,2,0,2503.430908203,10945.624023438,64.087829631,44.833275887
15,cell_15,533,213.102706909,324.875305176,8.420908610,1,1,YES,2,0,2001.837036133,7916.118652344,51.247026830,32.424421918
16,cell_16,519,301.569488525,89.564788818,9.365416209,1,1,YES,2,0,1931.817260742,7574.794433594,49.454520626,31.026357922
17,cell_17,537,47.776870728,86.128952026,9.737362544,1,1,YES,2,0,1998.778442383,7918.346191406,51.168726832,32.433545918
18,cell_18,488,216.114120483,361.737030029,9.177346547,1,1,YES,2,0,1820.928955078,7012.780273438,46.615780072,28.724347927
19,cell_19,549,423.800964355,287.894317627,8.853488286,1,1,YES,2,0,2044.355468750,8311.735351562,52.335498678,34.044867914
20,cell_20,515,403.208618164,272.888275146,8.635901769,1,1,YES,2,0,1918.353515625,7420.629394531,49.109848759,30.394897923
21,cell_21,435,57.135253906,213.684112549,9.382077535,1,1,YES,2,0,1643.097412109,5956.781738281,42.063292687,24.398977938
