 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
1,cell_2,2262,145.869461060,99.935272217,16.189931234,1,1,YES,2,0,8452.599609375,57987.171875000,216.386544534,237.515455400
2,cell_3,2474,331.252319336,214.650619507,15.633173625,1,1,YES,2,0,9267.925781250,60223.125000000,237.258894006,246.673919377
3,cell_6,2335,250.613250732,58.991275787,16.932604472,1,1,YES,2,0,8716.496093750,52139.070312500,223.142294363,213.561631461
4,cell_8,2461,143.331237793,464.602752686,16.701095581,1,1,YES,2,0,9198.034179688,61199.015625000,235.469669052,250.671167367
1,cell_0,1198,392.337554932,487.559783936,14.559003194,1,1,YES,2,0,4492.626464844,23796.455078125,115.011234595,97.470279754
1,cell_0,2328,264.511749268,62.860309601,14.630007426,1,1,YES,2,0,8670.065429688,54524.734375000,221.953669393,223.333311436
2,cell_1,2133,334.077758789,456.190277100,15.581123352,1,1,YES,2,0,8028.278808594,52052.421875000,205.523932308,213.206719462
3,cell_2,2524,433.573699951,310.858673096,15.165067037,1,1,YES,2,0,9468.500000000,63585.843750000,242.393593877,260.447615342
4,cell_4,1571,223.900497437,256.974761963,15.110580444,1,1,YES,2,0,5917.949218750,33348.191406250,151.499496173,136.594191655
5,cell_5,1120,476.437622070,394.206542969,16.467122396,1,1,YES,2,0,4178.631347656,21661.716796875,106.972959798,88.726391776
6,cell_8,2187,142.118164062,454.604766846,17.328667959,1,1,YES,2,0,8232.337890625,54783.843750000,210.747844676,224.394623433
1,cell_11,2272,281.981658936,394.422027588,12.447848002,1,1,YES,2,0,8521.777343750,55937.230468750,218.157494489,229.118895422
2,cell_12,2166,425.640319824,134.045654297,16.738169352,1,1,YES,2,0,8110.486816406,53958.152343750,207.628457255,221.012591442
