 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
1,cell_79,128,423.999969482,206.003280640,8.000621796,1,1,YES,2,0,518.088684082,1098.371459961,13.263069977,4.498929489
2,cell_80,221,298.500000000,195.499984741,8.001307170,1,1,YES,2,0,895.184020996,2504.401611328,22.916710359,10.258028974
1,cell_76,275,46.500000000,399.500213623,7.990838369,1,1,YES,2,0,1121.326660156,3514.947265625,28.705961775,14.397223964
2,cell_77,128,219.000000000,336.003295898,8.000621796,1,1,YES,2,0,518.088745117,1098.371704102,13.263071540,4.498930489
3,cell_78,147,359.999969482,401.999938965,7.994571686,1,1,YES,2,0,602.715759277,1379.124145508,15.429523048,5.648892486
1,cell_73,292,154.000045776,235.502227783,8.003881454,1,1,YES,2,0,1181.908203125,3804.360839844,30.256849236,15.582661961
2,cell_74,91,36.499992371,297.500030518,7.991842906,1,1,YES,2,0,367.175994873,652.285156250,9.399705231,2.671759993
3,cell_75,183,375.000000000,373.501678467,7.988966624,1,1,YES,2,0,742.014221191,1888.109375000,18.995563583,7.733695980
1,cell_68,137,265.999969482,88.500015259,9.997044245,1,1,YES,2,0,559.617980957,1233.722167969,14.326219951,5.053325987
2,cell_69,91,394.500000000,134.500000000,7.991842906,1,1,YES,2,0,367.175537109,652.316467285,9.399693513,2.671888243
3,cell_70,91,394.500000000,134.500000000,7.991842906,1,1,YES,2,0,367.175537109,652.316467285,9.399693513,2.671888243
4,cell_71,147,342.000000000,356.999938965,7.994571686,1,1,YES,2,0,602.715759277,1379.124145508,15.429523048,5.648892486
5,cell_72,159,353.500000000,430.000091553,8.007188797,1,1,YES,2,0,647.624511719,1537.486572266,16.579187081,6.297544984
